obj_name,selector,selected_iter,pre_fallback_iter,fallback_applied,selector_miou,baseline_miou,oracle_miou,support_query_selected,decoder_confidence_selected,temporal_stability_selected,foreground_background_separation_selected
0_class-760,original,1,1,False,0.9657018184661865,0.9657483100891113,0.9657534956932068,0.9903697967529297,1.0110609531402588,0.9997359119164669,0.9925093650817871
1_class-760,original,0,0,False,0.9588829278945923,0.9588829278945923,0.9588829278945923,0.9824146032333374,1.0116140842437744,1.0,0.9938005805015564
2_class-760,original,5,5,False,0.9587973356246948,0.9587097764015198,0.9588959813117981,0.9928072690963745,1.0112097263336182,0.9994843034873977,0.9952196478843689
3_class-760,original,1,1,False,0.9686949253082275,0.9682180285453796,0.9686949253082275,0.9918652772903442,1.0082488059997559,0.9981537220343191,0.989303469657898
4_class-760,original,2,2,False,0.9596441388130188,0.9480657577514648,0.9596441388130188,0.9873403906822205,0.9901889562606812,0.9733504480846003,0.9733261466026306
5_class-760,original,1,1,False,0.9418136477470398,0.9422904253005981,0.9443137645721436,0.9966498613357544,1.0021357536315918,0.9990831382063362,0.9868163466453552
6_class-760,original,1,1,False,0.9717279076576233,0.9717459678649902,0.9718230962753296,0.9859679937362671,1.0088086128234863,0.999300050213789,0.9914716482162476
7_class-760,original,3,3,False,0.9787969589233398,0.9809247255325317,0.9809247255325317,0.993479311466217,1.0113660097122192,0.9950032973164916,0.993768572807312
8_class-760,original,3,3,False,0.9511860609054565,0.9513120651245117,0.9513120651245117,0.9945831894874573,1.0087544918060303,0.9997958546485097,0.9895336031913757
9_class-760,original,1,1,False,0.9749040603637695,0.9748916625976562,0.974964439868927,0.9939644932746887,1.014399766921997,0.9993499407981798,0.9946455359458923
10_class-761,original,5,5,False,0.6503708958625793,0.6498182415962219,0.6503708958625793,0.987518846988678,0.9006354808807373,0.182649537228899,0.9070628881454468
11_class-761,original,0,0,False,0.6080919504165649,0.6080919504165649,0.6080919504165649,0.9926074743270874,0.9773142337799072,1.0,0.977480411529541
12_class-761,original,3,3,False,0.6071222424507141,0.3846953809261322,0.6179523468017578,0.9942378997802734,0.9418937563896179,0.6531010997599509,0.9675530791282654
13_class-761,original,1,1,False,0.958694338798523,0.6275483965873718,0.958694338798523,0.9936089515686035,0.944197416305542,0.315910801656003,0.9909464716911316
14_class-761,original,5,5,False,0.5190298557281494,0.4550953209400177,0.5190298557281494,0.9987990260124207,0.9426174163818359,0.07714244516718202,0.8918285369873047
15_class-761,original,1,1,False,0.9496195316314697,0.7139831781387329,0.9496195316314697,0.9982634782791138,0.9911763668060303,0.5069812842167806,0.9912277460098267
16_class-761,original,1,1,False,0.5773120522499084,0.6554251909255981,0.8715425729751587,0.9810250401496887,0.9435867071151733,0.6422467550464225,0.9217000603675842
17_class-761,original,2,2,False,0.7984685301780701,0.7932538390159607,0.8387397527694702,0.9976727366447449,0.9798756837844849,0.8725418790968682,0.9833989143371582
18_class-761,original,2,2,False,0.4733177125453949,0.44240397214889526,0.4914149045944214,0.989587664604187,0.9484496116638184,0.04871311989956058,0.9451383352279663
19_class-761,original,1,1,False,0.9781435132026672,0.9365542531013489,0.9781435132026672,0.9912585020065308,0.9990488290786743,0.915332891372289,0.9848059415817261
20_class-762,original,3,3,False,0.9301154613494873,0.7637630701065063,0.9301154613494873,0.9960370659828186,0.9405934810638428,0.7148319086762979,0.8690376877784729
21_class-762,original,4,4,False,0.9388623237609863,0.954362154006958,0.954362154006958,0.9784813523292542,0.9797511100769043,0.9792058507761481,0.9334643483161926
22_class-762,original,2,2,False,0.6437984704971313,0.6437730193138123,0.6446584463119507,0.9885554313659668,0.9978629350662231,0.9978132161955692,0.9647595286369324
23_class-762,original,4,4,False,0.9425497055053711,0.9424717426300049,0.9446479082107544,0.9766057133674622,0.9964860677719116,0.9973632729437781,0.9698311686515808
24_class-762,original,2,2,False,0.6463183164596558,0.6997509002685547,0.891318678855896,0.9913737773895264,0.9658627510070801,0.8462190636493984,0.9360801577568054
25_class-762,original,3,3,False,0.6974785327911377,0.699637234210968,0.6996997594833374,0.9935812950134277,0.9981980323791504,0.41870360690015684,0.9675063490867615
