method,num_samples,mean_selected_miou,mean_baseline_miou,mean_oracle_miou,gain_over_baseline,non_degradation_rate,mean_oracle_gap_closure,mean_selected_iter,fallback_rate
original,500,0.8805837969481946,0.8402206389699132,0.9154242694545537,0.04036315797828138,0.63,0.5367182105194389,2.67,0.0
support_top1,500,0.8759436516538263,0.8402206389699132,0.9154242694545537,0.03572301268391309,0.588,0.47501712954149344,2.548,0.0
single_decoder_confidence,500,0.845330387281254,0.8402206389699132,0.9154242694545537,0.0051097483113408115,0.598,0.06794550048198031,2.582,0.0
single_temporal_stability,500,0.8402206389699132,0.8402206389699132,0.9154242694545537,0.0,1.0,0.0,0.0,0.0
single_foreground_background_separation,500,0.8728716476261615,0.8402206389699132,0.9154242694545537,0.03265100865624837,0.61,0.4341679842559857,2.576,0.0
rank_sum,500,0.878798304265365,0.8402206389699132,0.9154242694545537,0.03857766529545181,0.748,0.5129761029732582,1.888,0.002
median_rank,500,0.8817910834606737,0.8402206389699132,0.9154242694545537,0.04157044449076053,0.746,0.5527717774110762,1.906,0.006
consensus,500,0.8817910834606737,0.8402206389699132,0.9154242694545537,0.04157044449076053,0.746,0.5527717774110762,1.906,0.006
