seed,method,num_samples,mean_selected_miou,mean_baseline_miou,mean_oracle_miou,gain_over_baseline,non_degradation_rate,oracle_gap_closure,mean_selected_iter,fallback_rate
s42,original_gate_support_only,2400,0.8814283542790994,0.8561072499362248,0.9185859807157734,0.0253211043428746,0.7441666666666666,0.4052755878191281,1.74125,0.2604166666666667
s42,original_gate_decoder_only,2400,0.8752387126864051,0.8561072499362248,0.9185859807157734,0.019131462750180295,0.6875,0.3062076087570376,2.1170833333333334,0.14625
s42,original_gate_fg_only,2400,0.8806605164076124,0.8561072499362248,0.9185859807157734,0.02455326647138767,0.7291666666666666,0.392985999635972,1.86375,0.22708333333333333
s42,original_gate_support_decoder,2400,0.8729482870190987,0.8561072499362248,0.9185859807157734,0.016841037082873878,0.8075,0.2695483226491298,1.3491666666666666,0.40041666666666664
s42,original_gate_support_fg,2400,0.8781535764649743,0.8561072499362248,0.9185859807157734,0.022046326528749494,0.82875,0.35286130581842756,1.21,0.4425
s42,original_gate_decoder_fg,2400,0.8737998246326849,0.8561072499362248,0.9185859807157734,0.017692574696460128,0.7654166666666666,0.28317756259945526,1.6258333333333332,0.3075
s42,original_gate_support_decoder_fg,2400,0.8713587866831222,0.8561072499362248,0.9185859807157734,0.015251536746897387,0.86125,0.2441076596243811,0.9945833333333334,0.5166666666666667
s42,original_gate_all_four,2400,0.8561072499362248,0.8561072499362248,0.9185859807157734,0.0,1.0,0.0,0.0,0.8425
s43,original_gate_support_only,2400,0.8832274540474949,0.8582649375118004,0.9194569907147282,0.02496251653569448,0.7575,0.4079372276153685,1.7733333333333334,0.2520833333333333
s43,original_gate_decoder_only,2400,0.8787720742150366,0.8582649375118004,0.9194569907147282,0.020507136703236117,0.6945833333333333,0.33512744923314564,2.120833333333333,0.12916666666666668
s43,original_gate_fg_only,2400,0.8841266618226655,0.8582649375118004,0.9194569907147282,0.025861724310865086,0.7533333333333333,0.4226320732383551,1.84625,0.22083333333333333
s43,original_gate_support_decoder,2400,0.8753738502052147,0.8582649375118004,0.9194569907147282,0.017108912693414302,0.8104166666666667,0.2795937020886843,1.3966666666666667,0.3729166666666667
s43,original_gate_support_fg,2400,0.8804299500297444,0.8582649375118004,0.9194569907147282,0.022165012517944005,0.8475,0.3622204413445554,1.2270833333333333,0.43
s43,original_gate_decoder_fg,2400,0.8773421289969702,0.8582649375118004,0.9194569907147282,0.01907719148516973,0.785,0.3117592969450644,1.6075,0.29833333333333334
s43,original_gate_support_decoder_fg,2400,0.8737490902728556,0.8582649375118004,0.9194569907147282,0.015484152761055192,0.8754166666666666,0.25304188943793027,1.0141666666666667,0.49916666666666665
s43,original_gate_all_four,2400,0.8582649375118004,0.8582649375118004,0.9194569907147282,0.0,1.0,0.0,0.0,0.8329166666666666
