obj_name,selector,selected_iter,pre_fallback_iter,fallback_applied,selector_miou,baseline_miou,oracle_miou,support_query_selected,decoder_confidence_selected,temporal_stability_selected,foreground_background_separation_selected
0_class-760,guarded,0,4,True,0.8233403563499451,0.8233403563499451,0.9814549684524536,0.9646353721618652,0.8877989053726196,1.0,10.19383430480957
1_class-760,guarded,0,3,True,0.974603533744812,0.974603533744812,0.974603533744812,0.8859663009643555,0.9824673295021057,1.0,17.413991928100586
2_class-760,guarded,0,1,True,0.8690958619117737,0.8690958619117737,0.8783261179924011,0.8948495984077454,0.9369840741157531,1.0,13.61264419555664
3_class-760,guarded,1,1,False,0.9626407027244568,0.9658658504486084,0.9676163196563721,0.8484779000282288,0.944679570198059,0.9897707601112102,13.905730247497559
4_class-760,guarded,2,2,False,0.9722155332565308,0.9719410538673401,0.9746038913726807,0.9124130010604858,0.9606129407882691,0.9974739936160929,15.370121002197266
5_class-760,guarded,0,3,True,0.9310770034790039,0.9310770034790039,0.9384341239929199,0.9636285305023193,0.8763586163520813,1.0,8.079680442810059
6_class-760,guarded,0,1,True,0.9368157386779785,0.9368157386779785,0.9373441338539124,0.9422850012779236,0.9464152216911316,1.0,14.870970726013184
7_class-760,guarded,4,4,False,0.874910831451416,0.8750905990600586,0.8751351833343506,0.9429572224617004,0.9720800876617431,0.997496671105193,15.874387741088867
8_class-760,guarded,0,0,False,0.9598132967948914,0.9598132967948914,0.9600784778594971,0.9489662051200867,0.9816433310508728,1.0,16.018980026245117
9_class-760,guarded,0,5,True,0.9672877192497253,0.9672877192497253,0.967706561088562,0.9759753942489624,0.974439013004303,1.0,12.99310302734375
