obj_name,iteration,miou,selected,support_query,decoder_confidence,temporal_stability,foreground_background_separation
0_class-0,0,0.935633659362793,0,0.9812077283859253,1.01138174533844,1.0,0.9934427738189697
0_class-0,1,0.9350193738937378,0,0.9813342094421387,1.0091632604599,0.9989404863426106,0.9937222599983215
0_class-0,2,0.6474465727806091,0,0.9868505597114563,0.9899677038192749,0.5404522385939537,0.9739654064178467
0_class-0,3,0.9374632835388184,0,0.981231689453125,1.0103998184204102,0.5405342744532317,0.9958327412605286
0_class-0,4,0.6484569907188416,1,0.9869294166564941,0.993962287902832,0.5416950985567329,0.9886416792869568
0_class-0,5,0.9352421760559082,0,0.9812895655632019,1.0091032981872559,0.5408755546383243,0.9915734529495239
1_class-72,0,0.46048808097839355,0,0.9682386517524719,0.9482982158660889,1.0,0.8662463426589966
1_class-72,1,0.402917742729187,0,0.9679918885231018,0.9932440519332886,0.24286900513925358,0.9686528444290161
1_class-72,2,0.4597426950931549,1,0.9730913043022156,0.988805890083313,0.2853653478351038,0.9749921560287476
1_class-72,3,0.45806002616882324,0,0.9615359306335449,0.8810657262802124,0.5123289253334873,0.9369244575500488
1_class-72,4,0.4194350838661194,0,0.9696031808853149,0.984351396560669,0.0,0.9679155349731445
1_class-72,5,0.3474048376083374,0,0.8632464408874512,0.8441014289855957,0.36416774714647054,0.5209656357765198
2_class-68,0,0.1785583794116974,0,0.8520981073379517,1.010741114616394,1.0,0.992139458656311
2_class-68,1,0.1648808866739273,0,0.8526816964149475,0.9868229627609253,0.8931013229750455,0.9700156450271606
2_class-68,2,0.16503556072711945,0,0.857401430606842,0.9879913330078125,0.9986372894970881,0.9699609875679016
2_class-68,3,0.16507096588611603,0,0.8604521751403809,0.9840240478515625,0.9988371425289997,0.9666426181793213
2_class-68,4,0.16494424641132355,1,0.8608220815658569,0.990015983581543,0.9980776679530032,0.9736145734786987
2_class-68,5,0.1785770207643509,0,0.8528785109519958,1.0114039182662964,0.8932847699212757,0.9923399090766907
3_class-76,0,0.16584797203540802,0,0.9253448247909546,0.9947772026062012,1.0,0.8837703466415405
3_class-76,1,0.16860568523406982,0,0.9232311844825745,0.9640865325927734,0.9681185326642092,0.8405055999755859
3_class-76,2,0.16499067842960358,0,0.9208154082298279,0.9408376216888428,0.9796117261811944,0.7892445921897888
3_class-76,3,0.16825558245182037,0,0.9243476390838623,0.9930875301361084,0.96893637484178,0.8891054391860962
3_class-76,4,0.16444405913352966,0,0.9204716682434082,0.9613767862319946,0.9784119811000485,0.7905933856964111
3_class-76,5,0.17069977521896362,1,0.9256051778793335,1.0008684396743774,0.978430066975901,0.9259440302848816
