obj_name,selector,selected_iter,pre_fallback_iter,fallback_applied,selector_miou,baseline_miou,oracle_miou,support_query_selected,decoder_confidence_selected,temporal_stability_selected,foreground_background_separation_selected
0_class-0,original,4,4,False,0.9357022643089294,0.935053825378418,0.9370877742767334,0.9812664985656738,1.0140622854232788,0.9989923261762654,0.9937587380409241
1_class-72,original,2,2,False,0.4617477357387543,0.40683650970458984,0.4645354151725769,0.9670418500900269,0.9874569177627563,0.030867643638055362,0.9892342686653137
2_class-68,original,2,2,False,0.20669227838516235,0.16465914249420166,0.20669227838516235,0.8854255676269531,0.9812520742416382,0.7571893173552925,0.911845326423645
3_class-76,original,4,4,False,0.17063051462173462,0.16956588625907898,0.17063051462173462,0.925034761428833,0.9966834783554077,0.9902046468338195,0.9018926024436951
4_class-36,original,4,4,False,0.4274725019931793,0.42010125517845154,0.4613918364048004,0.9787087440490723,0.9282097816467285,0.014359414831821961,0.833877444267273
5_class-56,original,5,5,False,0.4261825382709503,0.4518109858036041,0.45908573269844055,0.9955231547355652,0.9829193353652954,0.4142866594623205,0.9728854298591614
6_class-48,original,2,2,False,0.4336140751838684,0.5754790902137756,0.5754790902137756,0.991185188293457,1.0036795139312744,0.2674808750503288,0.9840680360794067
7_class-36,original,4,4,False,0.4783489406108856,0.5669977068901062,0.8319329023361206,0.9913792014122009,0.9913396835327148,0.5124163247678687,0.9943286776542664
8_class-40,original,3,3,False,0.9670988321304321,0.955612063407898,0.9670988321304321,0.9766679406166077,1.0041775703430176,0.9798277794274001,0.9861833453178406
9_class-4,original,5,5,False,0.9423010349273682,0.9415906071662903,0.9423010349273682,0.9907257556915283,1.0000519752502441,0.9477314614050304,0.971951425075531
10_class-0,original,4,4,False,0.27116283774375916,0.27121874690055847,0.2712318003177643,0.9467155933380127,1.017383098602295,0.9998455240596277,0.9978382587432861
11_class-68,original,4,4,False,0.3934766948223114,0.5783942937850952,0.7318962216377258,0.9885786771774292,0.9597388505935669,0.11829924219702877,0.935793399810791
12_class-40,original,1,1,False,0.4647552967071533,0.4736084043979645,0.4855380058288574,0.9965284466743469,0.9877599477767944,0.1571654790182106,0.992684543132782
13_class-36,original,0,0,False,0.409012109041214,0.409012109041214,0.4544387459754944,0.9944969415664673,0.9707075357437134,1.0,0.9859809279441833
14_class-28,original,1,1,False,0.4832826554775238,0.4557977616786957,0.4832826554775238,0.9971165657043457,0.9777063131332397,0.6369779112498518,0.9603247046470642
