obj_name,iter_0,iter_1,iter_2,iter_3,iter_4,iter_5
0_class-0,0.9187440872192383,0.880476713180542,0.8812174797058105,0.8813856840133667,0.8814559578895569,0.8890659809112549
1_class-3,0.8674514293670654,0.6093241572380066,0.7542030811309814,0.7750581502914429,0.8004485368728638,0.8171617388725281
2_class-1,0.7469295859336853,0.41277602314949036,0.4764668345451355,0.8160742521286011,0.7044918537139893,0.6128379106521606
3_class-4,0.8171697854995728,0.4871096611022949,0.42311719059944153,0.43094170093536377,0.8782411813735962,0.8534090518951416
4_class-3,0.44203975796699524,0.4067017436027527,0.4017292261123657,0.4017620086669922,0.3926926553249359,0.34206441044807434
5_class-4,0.2913004159927368,0.28634464740753174,0.28840741515159607,0.29172512888908386,0.2865980863571167,0.2919504940509796
6_class-1,0.6123883128166199,0.5636972784996033,0.5706697702407837,0.548146665096283,0.5146742463111877,0.5719411969184875
7_class-4,0.31528010964393616,0.26013439893722534,0.2711541950702667,0.2711819112300873,0.2776021361351013,0.32926422357559204
8_class-0,0.8023396134376526,0.7633250951766968,0.8095110058784485,0.8626440763473511,0.7617200016975403,0.7712200880050659
9_class-2,4.749799700221047e-05,0.9141751527786255,0.9142986536026001,0.0015459771966561675,0.9158706068992615,0.9137740135192871
10_class-1,0.7390428185462952,0.6481705904006958,0.622536301612854,0.6241194009780884,0.6660781502723694,0.6143656969070435
11_class-4,0.39533814787864685,0.28344279527664185,0.31933146715164185,0.3914627730846405,0.34850984811782837,0.2784763276576996
12_class-0,0.5802962779998779,0.6485341787338257,0.5642502903938293,0.6501409411430359,0.6478402018547058,0.6491297483444214
13_class-1,0.39949625730514526,0.4156820476055145,0.8012799024581909,0.39424070715904236,0.4760286808013916,0.7006202936172485
14_class-0,0.7798721194267273,0.7772867679595947,0.4903824031352997,0.4424959421157837,0.9556090831756592,0.9564467668533325
15_class-0,0.6877596974372864,0.715673565864563,0.8126932382583618,0.7132850885391235,0.7384955286979675,0.6586373448371887
16_class-2,0.9971370697021484,0.9430840015411377,0.9422750473022461,0.9423236846923828,0.9435515403747559,0.9440151453018188
17_class-0,0.9086727499961853,0.9489184617996216,0.8761388063430786,0.949248194694519,0.947758674621582,0.9482559561729431
18_class-0,0.9007853269577026,0.9342659711837769,0.9368579387664795,0.9366848468780518,0.9374910593032837,0.9366860389709473
19_class-2,0.2984313666820526,0.29208317399024963,0.9569236636161804,0.29221010208129883,0.2922384440898895,0.292244553565979
20_class-0,0.997616708278656,0.9577848315238953,0.9577335119247437,0.9577194452285767,0.9577416181564331,0.9576194286346436
21_class-3,0.48370540142059326,0.4572855234146118,0.4948180913925171,0.8398257493972778,0.8385577201843262,0.7041611671447754
22_class-4,0.3593214154243469,0.4656497836112976,0.3540284335613251,0.3539675176143646,0.3539298474788666,0.3539455533027649
23_class-3,0.35187724232673645,0.4977602958679199,0.36252814531326294,0.15025699138641357,0.27657800912857056,0.13718408346176147
24_class-1,0.8193999528884888,0.6619043946266174,0.6335729956626892,0.6507041454315186,0.665742814540863,0.5490607023239136
25_class-2,0.9963096976280212,0.7585026025772095,0.9529201984405518,0.6664257645606995,0.8113448023796082,0.969504714012146
26_class-3,0.37988144159317017,0.9731405377388,0.5260622501373291,0.5269681811332703,0.5392021536827087,0.46652355790138245
27_class-1,0.44515979290008545,0.441087007522583,0.43344831466674805,0.4848219156265259,0.5259605646133423,0.48333361744880676
28_class-2,0.4056246280670166,0.3985954523086548,0.39874547719955444,0.39858949184417725,0.39858463406562805,0.39872121810913086
29_class-3,0.9718368053436279,0.8241235017776489,0.9383348226547241,0.9395053386688232,0.9395612478256226,0.9409911632537842
30_class-0,0.9936687350273132,0.9498192667961121,0.9502277374267578,0.9498137831687927,0.9500424861907959,0.9498116970062256
31_class-2,0.9818711280822754,0.9493321776390076,0.9491947889328003,0.9492992162704468,0.9491063952445984,0.9492520689964294
32_class-3,0.8621014356613159,0.8252748250961304,0.8255305290222168,0.8245195150375366,0.8240113258361816,0.8239261507987976
33_class-4,0.9985167384147644,0.9320728778839111,0.9320687055587769,0.93233323097229,0.9322930574417114,0.9322364330291748
