obj_name,iter_0,iter_1,iter_2,iter_3,iter_4,iter_5
0_class-8,0.4657727777957916,0.44812458753585815,0.455730676651001,0.4460188150405884,0.33299174904823303,0.35819360613822937
1_class-9,0.03341488540172577,0.264076292514801,0.03322438523173332,0.2639724016189575,0.03523693233728409,0.020179826766252518
2_class-9,0.9619302749633789,0.9324668645858765,0.9333990216255188,0.9328800439834595,0.9320489168167114,0.9327083826065063
3_class-5,0.9448114633560181,0.8824831247329712,0.8930904269218445,0.8818402290344238,0.8831591606140137,0.8832747936248779
4_class-6,0.12017425149679184,0.11537180095911026,0.11547686159610748,0.11530399322509766,0.11372318863868713,0.11622206121683121
5_class-5,0.41112831234931946,0.6114879250526428,0.7750059366226196,0.39862561225891113,0.6099510192871094,0.6156197786331177
6_class-6,0.2891291081905365,0.2924152612686157,0.2806953489780426,0.30916792154312134,0.28030845522880554,0.28578415513038635
7_class-8,0.38028594851493835,0.3639889359474182,0.3450290262699127,0.3151930272579193,0.40064293146133423,0.3721208870410919
8_class-8,0.38032397627830505,0.43898096680641174,0.3841479420661926,0.3402872681617737,0.4326656460762024,0.4093995690345764
9_class-9,0.7967977523803711,0.8162634968757629,0.7469998598098755,0.9162771701812744,0.747246265411377,0.7456982135772705
10_class-6,0.9167283773422241,0.8954505920410156,0.8954294919967651,0.895840585231781,0.8942744135856628,0.8954465389251709
11_class-8,0.4578857719898224,0.3915243446826935,0.44646406173706055,0.4466584622859955,0.45465144515037537,0.4465109705924988
12_class-8,0.3723813593387604,0.5345340967178345,0.3551155924797058,0.42734813690185547,0.33006274700164795,0.3508478105068207
13_class-8,0.41297784447669983,0.39008629322052,0.5592966675758362,0.41636261343955994,0.4435107707977295,0.35061386227607727
14_class-7,0.48321425914764404,0.46539580821990967,0.46574872732162476,0.46562302112579346,0.46742159128189087,0.9517080783843994
15_class-7,0.9862968921661377,0.9557030200958252,0.955829381942749,0.9557133913040161,0.95570969581604,0.9557599425315857
16_class-5,0.6767562031745911,0.6167343258857727,0.6131951808929443,0.618951678276062,0.532848060131073,0.573623776435852
17_class-7,0.3361164331436157,0.3904954195022583,0.29431673884391785,0.3912784457206726,0.3906042277812958,0.3273889422416687
18_class-9,0.44590499997138977,0.4384046792984009,0.45001378655433655,0.3117595911026001,0.27689874172210693,0.437717080116272
19_class-7,0.9566482901573181,0.9206820726394653,0.4417053759098053,0.9179402589797974,0.9214653968811035,0.9239687919616699
20_class-7,0.8289197683334351,0.8045145273208618,0.804100513458252,0.5284057855606079,0.5283664464950562,0.8041601181030273
21_class-5,0.11532511562108994,0.004483859520405531,0.12467724084854126,0.10784900188446045,0.11257026344537735,0.8547784686088562
22_class-7,0.6092537641525269,0.5821270942687988,0.5822972059249878,0.5823838710784912,0.5822963118553162,0.5822932720184326
23_class-6,0.21875466406345367,0.3428187668323517,0.3223714530467987,0.3961907923221588,0.5776646733283997,0.3230595290660858
24_class-9,0.991986870765686,0.9371366500854492,0.9368702173233032,0.9355216026306152,0.9357656836509705,0.9370795488357544
25_class-8,0.5226517915725708,0.5006340146064758,0.498291015625,0.45318612456321716,0.4999329149723053,0.5001444816589355
26_class-6,0.377086877822876,0.3727908432483673,0.38118234276771545,0.9673148393630981,0.37104639410972595,0.37155911326408386
27_class-5,0.45037418603897095,0.4443005919456482,0.4412016272544861,0.845438539981842,0.44135111570358276,0.8718135356903076
28_class-7,0.3621233403682709,0.3124634921550751,0.31248706579208374,0.3886077404022217,0.48063233494758606,0.312446653842926
29_class-5,0.9419574737548828,0.6604465842247009,0.9228187203407288,0.9192225933074951,0.9232216477394104,0.9228348731994629
30_class-6,0.3914085924625397,0.522292971611023,0.7578691244125366,0.319208025932312,0.9493107795715332,0.9518105983734131
31_class-7,0.9681973457336426,0.782592236995697,0.7820773124694824,0.7829062938690186,0.7700484991073608,0.7830175161361694
32_class-5,0.6362231373786926,0.47039344906806946,0.48118776082992554,0.6203344464302063,0.9554444551467896,0.9492421746253967
33_class-9,0.6323800086975098,0.5856732130050659,0.5856231451034546,0.5975627303123474,0.5966119766235352,0.5821834802627563
34_class-5,0.995337963104248,0.9551016092300415,0.9550460577011108,0.9434439539909363,0.9549628496170044,0.9548184275627136
35_class-6,0.37158331274986267,0.35149046778678894,0.35159289836883545,0.3516843020915985,0.35147610306739807,0.3515177369117737
36_class-5,0.3566648066043854,0.33922672271728516,0.34303727746009827,0.34258517622947693,0.34309279918670654,0.3385440707206726
37_class-5,0.9671885967254639,0.9396647214889526,0.9399503469467163,0.9398201107978821,0.7408479452133179,0.9399734735488892
