generator,benchmark,seed,fold,obj_name,episode_id,proposal_iter,proposal_nonbaseline,baseline_miou,proposal_miou,proposal_delta_miou,proposal_degraded,support_margin,foreground_margin,temporal_stability,temporal_baseline,temporal_deficit,support_fg_pass,source_file
PerSAM-F-compatible,FSS-1000,42,0,0_class-760,FSS-1000|fold0|0_class-760,5,1,0.9804753065109252,0.9806102514266968,0.0001349449157715954,0,1.4185905456542969e-05,0.0005047321319580078,0.9986052641680848,1.0,0.0013947358319151837,1,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s42_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,42,0,1_class-760,FSS-1000|fold0|1_class-760,3,1,0.9706321954727172,0.9704418182373048,-0.0001903772354123756,1,0.0005897879600526013,0.00022488832473754883,0.999564525584122,1.0,0.00043547441587798996,1,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s42_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,42,0,2_class-760,FSS-1000|fold0|2_class-760,3,1,0.6647294759750366,0.9768754839897156,0.31214600801467896,0,0.0002886056900023304,-0.001678764820098766,0.8096712654483121,1.0,0.19032873455168786,0,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s42_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,42,0,3_class-760,FSS-1000|fold0|3_class-760,2,1,0.9642795920372008,0.963328182697296,-0.0009514093399047852,1,0.00022852420806873663,0.0001797080039975807,0.999474283711557,1.0,0.0005257162884430011,1,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s42_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,42,0,4_class-760,FSS-1000|fold0|4_class-760,5,1,0.9709962606430054,0.9703830480575562,-0.0006132125854492188,1,9.202957153320312e-05,0.0015391707420350231,0.9967847923022763,1.0,0.0032152076977236543,1,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s42_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,42,0,5_class-760,FSS-1000|fold0|5_class-760,1,1,0.933092474937439,0.9311338067054749,-0.0019586682319641113,1,0.0020337700843809925,-2.4020671844482422e-05,0.994297388262614,1.0,0.005702611737385954,0,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s42_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,42,0,6_class-760,FSS-1000|fold0|6_class-760,4,1,0.9451984167099,0.9452575445175172,5.91278076171875e-05,0,0.00023883581161499023,0.00023120641708374023,0.998115687299099,1.0,0.0018843127009009475,1,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s42_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,42,0,7_class-760,FSS-1000|fold0|7_class-760,0,0,0.8794507384300232,0.8794507384300232,0.0,0,0.0,0.0,1.0,1.0,0.0,1,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s42_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,42,0,8_class-760,FSS-1000|fold0|8_class-760,2,1,0.9332252740859984,0.9336144924163818,0.0003892183303834118,0,-7.086992263805048e-05,0.0010030269622803845,0.9992359156898192,1.0,0.0007640843101808237,0,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s42_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,42,0,9_class-760,FSS-1000|fold0|9_class-760,2,1,0.941831648349762,0.9404971599578856,-0.0013344883918763317,1,-8.994340896606445e-05,0.001547694206237793,0.9179007283777916,1.0,0.08209927162220843,0,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s42_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,42,0,10_class-761,FSS-1000|fold0|10_class-761,5,1,0.9755947589874268,0.9758291244506836,0.00023436546325683594,0,0.000568091869354248,0.0013543367385865368,0.7682207036193369,1.0,0.23177929638066308,1,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s42_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,42,0,11_class-761,FSS-1000|fold0|11_class-761,1,1,0.9746173620224,0.9745874404907228,-2.9921531677246094e-05,1,0.00012153387069702148,0.0005841851234436035,0.9988383112714376,1.0,0.0011616887285623712,1,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s42_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,42,0,12_class-761,FSS-1000|fold0|12_class-761,3,1,0.5814631581306458,0.5806499123573303,-0.0008132457733154297,1,0.00015461444854736328,0.003596365451812744,0.970960845923184,1.0,0.02903915407681601,1,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s42_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,42,0,13_class-761,FSS-1000|fold0|13_class-761,1,1,0.9745100140571594,0.974157691001892,-0.000352323055267445,1,-3.0398368834338996e-06,0.0014418959617615856,0.9979592372977848,1.0,0.002040762702215204,0,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s42_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,42,0,14_class-761,FSS-1000|fold0|14_class-761,5,1,0.7588335275650024,0.9349756240844728,0.17614209651947033,0,0.00051391124725364,0.024135589599609597,0.6213728478520016,1.0,0.37862715214799836,1,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s42_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,42,0,15_class-761,FSS-1000|fold0|15_class-761,5,1,0.9526888132095336,0.9521440267562866,-0.0005447864532469593,1,0.00028210878372192383,0.002795100212097057,0.9942668755830488,1.0,0.005733124416951174,1,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s42_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,42,0,16_class-761,FSS-1000|fold0|16_class-761,4,1,0.6357407569885254,0.9723845720291138,0.3366438150405884,0,0.010583281517028809,0.22011983394622792,0.5808894618111505,1.0,0.41911053818884947,1,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s42_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,42,0,17_class-761,FSS-1000|fold0|17_class-761,3,1,0.5463932156562805,0.9705621004104614,0.4241688847541809,0,0.020519733428955078,-0.002588927745819203,0.9989430552941346,1.0,0.0010569447058653703,0,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s42_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,42,0,18_class-761,FSS-1000|fold0|18_class-761,5,1,0.6822298765182495,0.6849956512451172,0.0027657747268676758,0,0.002447962760925293,0.0016681551933288574,0.9950997171527916,1.0,0.004900282847208448,1,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s42_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,42,0,19_class-761,FSS-1000|fold0|19_class-761,5,1,0.9596884250640868,0.9584236145019532,-0.001264810562133567,1,-3.36766242980957e-05,0.004323840141296387,0.99662768393045,1.0,0.0033723160695500187,0,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s42_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,42,0,20_class-762,FSS-1000|fold0|20_class-762,5,1,0.9519023895263672,0.9523450136184692,0.0004426240921020508,0,2.0027160644420228e-05,0.0005272626876832165,0.9989242900770318,1.0,0.0010757099229682376,1,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s42_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,42,0,21_class-762,FSS-1000|fold0|21_class-762,3,1,0.6366137862205505,0.9458413124084472,0.3092275261878966,0,0.004805207252502552,0.15155398845672607,0.6068590659597484,1.0,0.39314093404025163,1,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s42_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,42,0,22_class-762,FSS-1000|fold0|22_class-762,2,1,0.9539659023284912,0.961432695388794,0.007466793060302734,0,0.0009253025054932751,0.004842698574066051,0.9984068395482364,1.0,0.0015931604517636089,1,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s42_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,42,0,23_class-762,FSS-1000|fold0|23_class-762,2,1,0.937159776687622,0.937798023223877,0.0006382465362549938,0,0.002240002155303955,0.0007382631301879883,0.9988619381538107,1.0,0.0011380618461892533,1,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s42_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,42,0,24_class-762,FSS-1000|fold0|24_class-762,0,0,0.8684543371200562,0.8684543371200562,0.0,0,0.0,0.0,1.0,1.0,0.0,1,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s42_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,42,0,25_class-762,FSS-1000|fold0|25_class-762,4,1,0.5438913106918335,0.5461724400520325,0.0022811293601989746,0,0.0002014040946959339,0.0015218257904051624,0.9906506495624288,1.0,0.009349350437571236,1,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s42_full\0\csvs\selector_original_candidates.csv
