generator,benchmark,episodes,tau_tmp,accepted_count,coverage,gate_fallback_rate,conditional_degradation_risk,selected_miou,baseline_miou,gain_over_baseline,ndr
PerSAM-F-compatible,FSS-1000,7200,0.0,0,0.0,0.8363888888888888,0.0,0.8578307747619369,0.8578307747619369,0.0,1.0
PerSAM-F-compatible,FSS-1000,7200,3.424540255481112e-05,1,0.0001388888888888889,0.83625,1.0,0.8578307744639136,0.8578307747619369,-2.98023223884663e-10,0.9998611111111111
PerSAM-F-compatible,FSS-1000,7200,0.00010055715080149269,8,0.0011111111111111111,0.8352777777777778,0.5,0.8578307711359877,0.8578307747619369,-3.6259492238825225e-09,0.9994444444444445
PerSAM-F-compatible,FSS-1000,7200,0.00011420696623993531,15,0.0020833333333333333,0.8343055555555555,0.5333333333333333,0.8578307786941878,0.8578307747619369,3.932250870567847e-09,0.9988888888888889
PerSAM-F-compatible,FSS-1000,7200,0.00013262359950697022,22,0.0030555555555555557,0.8333333333333334,0.5,0.8579157372218389,0.8578307747619369,8.49624599019686e-05,0.9984722222222222
PerSAM-F-compatible,FSS-1000,7200,0.00014861009542383675,29,0.004027777777777778,0.8323611111111111,0.4827586206896552,0.8579157847482647,0.8578307747619369,8.500998632775402e-05,0.9980555555555556
PerSAM-F-compatible,FSS-1000,7200,0.00016098806965911678,36,0.005,0.8313888888888888,0.5,0.8578576662542441,0.8578307747619369,2.6891492307185927e-05,0.9975
PerSAM-F-compatible,FSS-1000,7200,0.00016635304331853563,44,0.006111111111111111,0.8302777777777778,0.45454545454545453,0.8578576740939106,0.8578307747619369,2.6899331973658484e-05,0.9972222222222222
PerSAM-F-compatible,FSS-1000,7200,0.00018216692403524805,51,0.007083333333333333,0.8293055555555555,0.43137254901960786,0.8579247162310962,0.8578307747619369,9.394146915939102e-05,0.9969444444444444
PerSAM-F-compatible,FSS-1000,7200,0.00019019475548563537,58,0.008055555555555555,0.8283333333333334,0.43103448275862066,0.8579193045038199,0.8578307747619369,8.852974188307081e-05,0.9965277777777778
PerSAM-F-compatible,FSS-1000,7200,0.00020199925079263437,65,0.009027777777777777,0.8273611111111111,0.4461538461538462,0.857919200692397,0.8578307747619369,8.842593046008697e-05,0.9959722222222223
PerSAM-F-compatible,FSS-1000,7200,0.00021361132348550748,72,0.01,0.8263888888888888,0.4305555555555556,0.8579194722867558,0.8578307747619369,8.869752481890206e-05,0.9956944444444444
PerSAM-F-compatible,FSS-1000,7200,0.00021906686405119864,80,0.011111111111111112,0.8252777777777778,0.4125,0.8579195407327562,0.8578307747619369,8.876597081931911e-05,0.9954166666666666
PerSAM-F-compatible,FSS-1000,7200,0.00022868664602521572,87,0.012083333333333333,0.8243055555555555,0.4367816091954023,0.8579195273134327,0.8578307747619369,8.875255149582173e-05,0.9947222222222222
PerSAM-F-compatible,FSS-1000,7200,0.00023650868120576345,94,0.013055555555555556,0.8233333333333334,0.425531914893617,0.8579194712767882,0.8578307747619369,8.86965148513099e-05,0.9944444444444445
PerSAM-F-compatible,FSS-1000,7200,0.00024830024933206353,101,0.014027777777777778,0.8223611111111111,0.44554455445544555,0.8579115384840084,0.8578307747619369,8.076372207142395e-05,0.99375
PerSAM-F-compatible,FSS-1000,7200,0.00026189617593996156,108,0.015,0.8213888888888888,0.42592592592592593,0.8579118883549948,0.8578307747619369,8.111359305783257e-05,0.9936111111111111
PerSAM-F-compatible,FSS-1000,7200,0.0002748280827698979,116,0.01611111111111111,0.8202777777777778,0.41379310344827586,0.8580051512335518,0.8578307747619369,0.00017437647161487878,0.9933333333333333
PerSAM-F-compatible,FSS-1000,7200,0.00027919153722607946,123,0.017083333333333332,0.8193055555555555,0.4146341463414634,0.8580051822776376,0.8578307747619369,0.00017440751570069922,0.9929166666666667
PerSAM-F-compatible,FSS-1000,7200,0.0002885597778789456,130,0.018055555555555554,0.8183333333333334,0.4230769230769231,0.858005173966101,0.8578307747619369,0.00017439920416412226,0.9923611111111111
PerSAM-F-compatible,FSS-1000,7200,0.0002955357239984349,137,0.01902777777777778,0.8173611111111111,0.4233576642335766,0.8580344129914819,0.8578307747619369,0.00020363822954499867,0.9919444444444444
PerSAM-F-compatible,FSS-1000,7200,0.0003075275482931128,144,0.02,0.8163888888888889,0.4236111111111111,0.8580334266422304,0.8578307747619369,0.0002026518802934634,0.9915277777777778
PerSAM-F-compatible,FSS-1000,7200,0.00031747598241161826,152,0.021111111111111112,0.8152777777777778,0.4144736842105263,0.8580334571233834,0.8578307747619369,0.0002026823614465277,0.99125
PerSAM-F-compatible,FSS-1000,7200,0.0003247820671637197,159,0.022083333333333333,0.8143055555555555,0.42138364779874216,0.8580334615523396,0.8578307747619369,0.00020268679040277135,0.9906944444444444
PerSAM-F-compatible,FSS-1000,7200,0.00032919500927200835,166,0.023055555555555555,0.8133333333333334,0.42771084337349397,0.8580332122227992,0.8578307747619369,0.0002024374608623068,0.9901388888888889
PerSAM-F-compatible,FSS-1000,7200,0.00033208255655760023,173,0.024027777777777776,0.8123611111111111,0.43352601156069365,0.8580332257994128,0.8578307747619369,0.00020245103747583898,0.9895833333333334
PerSAM-F-compatible,FSS-1000,7200,0.0003451182496564398,180,0.025,0.8113888888888889,0.4222222222222222,0.8581411025571934,0.8578307747619369,0.00031032779525654974,0.9894444444444445
PerSAM-F-compatible,FSS-1000,7200,0.0003564714258902224,188,0.026111111111111113,0.8102777777777778,0.42021276595744683,0.8581411572278982,0.8578307747619369,0.00031038246596128545,0.9890277777777777
