generator,benchmark,policy,episodes,tau_tmp,accepted_count,coverage,gate_fallback_rate,conditional_degradation_risk,selected_miou,baseline_miou,gain_over_baseline,ndr,random_repetitions,random_seed,random_miou_mean,random_miou_ci_low,random_miou_ci_high,guarded_minus_random_pp,difference_ci_low_pp,difference_ci_high_pp
PerSAM-F-compatible,FSS-1000,literal_tau0,7200,0.0,0,0.0,0.8363888888888888,0.0,0.8578307747619369,0.8578307747619369,0.0,1.0,10000,20260908,0.857830774761937,0.8578307747619369,0.8578307747619369,0.0,0.0,0.0
PerSAM-F-compatible,FSS-1000,support_fg_equivalent,7200,1.000000000001,2882,0.4002777777777778,0.4361111111111111,0.40458015267175573,0.8795127479933823,0.8578307747619369,0.02168197323144543,0.8380555555555556,10000,20260908,0.8708523148423343,0.8691019240094934,0.8726606114139843,0.8660433151048093,0.6852136579397949,1.0410823983888897
PerSAM-F-compatible,COCO-20i,literal_tau0,12000,0.0,0,0.0,0.8320833333333333,0.0,0.5351710284367146,0.5351710284367146,0.0,1.0,10000,20260908,0.5351710284367146,0.5351710284367146,0.5351710284367146,0.0,0.0,0.0
PerSAM-F-compatible,COCO-20i,support_fg_equivalent,12000,1.000000000001,6291,0.52425,0.30783333333333335,0.33524082021936097,0.5659790691201342,0.5351710284367146,0.030808040683419677,0.82425,10000,20260908,0.5543644698593169,0.5529860914481209,0.5557435766443707,1.1614599260817224,1.0235492475763501,1.299297767201322
PerSAM-F-compatible,Pascal-5i,literal_tau0,12000,0.0,1,8.333333333333333e-05,0.8353333333333334,1.0,0.6696507749265905,0.6696507865997877,-1.1673197150233299e-08,0.9999166666666667,10000,20260908,0.6696488109835638,0.6696099238582802,0.6696902010771981,0.00019639430267903826,-0.003942615060760213,0.004085106831036574
PerSAM-F-compatible,Pascal-5i,support_fg_equivalent,12000,1.000000000001,5285,0.4404166666666667,0.395,0.6762535477767266,0.6691993149689595,0.6696507865997877,-0.00045147163082826143,0.7021666666666667,10000,20260908,0.6604539868804244,0.6588246583846079,0.6620611795110131,0.8745328088534984,0.7138135457946435,1.0374656584351574
Matcher,FSS-1000,literal_tau0,2400,0.0,0,0.0,0.8316666666666667,0.0,0.884484056958269,0.884484056958269,0.0,1.0,10000,20260908,0.8844840569582689,0.884484056958269,0.884484056958269,0.0,0.0,0.0
Matcher,FSS-1000,support_fg_equivalent,2400,1.000000000001,1008,0.42,0.4116666666666667,0.3878968253968254,0.9059065089140009,0.884484056958269,0.021422451955731957,0.8370833333333333,10000,20260908,0.8942672856695354,0.8917521039723652,0.8967981916110536,1.1639223244465629,0.9108317302947335,1.4154404941635783
Matcher,COCO-20i,literal_tau0,1000,0.0,6,0.006,0.8,0.0,0.6810158711578697,0.6810136221852153,2.2489726543425402e-06,1.0,10000,20260908,0.6811448801441018,0.6806538292661309,0.6817738895890303,-0.012900898623209792,-0.07580184311606647,0.036204189173869306
Matcher,COCO-20i,support_fg_equivalent,1000,1.000000000001,455,0.455,0.351,0.3868131868131868,0.6949557455918984,0.6810136221852153,0.013942123406683094,0.824,10000,20260908,0.6907151113396597,0.6876645823586994,0.6937094547316666,0.4240634252238735,0.12462908602319052,0.729116323319904
