obj_name,iteration,miou,selected,support_query,decoder_confidence,temporal_stability,foreground_background_separation
0_class-0,0,0.9348068237304688,1,0.9812906980514526,1.013448715209961,1.0,0.9937378764152527
0_class-0,1,0.9347978830337524,0,0.9813160300254822,1.0079865455627441,0.9991076624636276,0.9925588965415955
0_class-0,2,0.9355058670043945,0,0.9812213182449341,1.0079362392425537,0.998823955129365,0.9932848215103149
0_class-0,3,0.937429666519165,0,0.9812244176864624,1.0073002576828003,0.9967409086810342,0.995771050453186
0_class-0,4,0.9350623488426208,0,0.9812626242637634,1.0104213953018188,0.9960452923520849,0.993588387966156
0_class-0,5,0.9372250437736511,0,0.9812619090080261,1.0099035501480103,0.9963533277495007,0.9960246682167053
1_class-72,0,0.453751802444458,0,0.9738752841949463,0.854189395904541,1.0,0.706049919128418
1_class-72,1,0.4031599760055542,1,0.9691668152809143,0.993375301361084,0.2753152216300533,0.9714856743812561
1_class-72,2,0.40234941244125366,0,0.962274968624115,0.8426342010498047,0.9620307748173029,0.7599620223045349
1_class-72,3,0.3748452961444855,0,0.7892935872077942,0.959968090057373,0.06396783542561942,0.8922979235649109
1_class-72,4,0.40683090686798096,0,0.9671120643615723,0.9837865829467773,0.053064795886762064,0.952984631061554
1_class-72,5,0.427611768245697,0,0.9714378118515015,0.9746484756469727,0.6569479487898328,0.9451947808265686
2_class-68,0,0.178485706448555,0,0.8519102334976196,1.0115365982055664,1.0,0.9929083585739136
2_class-68,1,0.16467592120170593,1,0.8609567284584045,0.9971252679824829,0.8923889397755896,0.985741913318634
2_class-68,2,0.1559271663427353,0,0.8598053455352783,0.979245662689209,0.9357958127120803,0.9521903395652771
2_class-68,3,0.17849129438400269,0,0.8515580296516418,1.0123533010482788,0.836579476861167,0.9930868148803711
2_class-68,4,0.17851366102695465,0,0.8525320887565613,1.0118207931518555,0.9992950977250881,0.9930065274238586
2_class-68,5,0.17852483689785004,0,0.8523131608963013,1.0114595890045166,0.9996474358974359,0.9927859306335449
3_class-76,0,0.15649285912513733,0,0.9234435558319092,0.9575108289718628,1.0,0.7618053555488586
3_class-76,1,0.1701795905828476,0,0.9252932071685791,0.9974799156188965,0.9481775903093229,0.9127334952354431
3_class-76,2,0.1705811470746994,1,0.9271997213363647,0.9989098310470581,0.9938944044346503,0.9089541435241699
3_class-76,3,0.16573098301887512,0,0.9266253709793091,0.9942895174026489,0.9746640216814283,0.8822340965270996
3_class-76,4,0.17017941176891327,0,0.9268736839294434,0.9995636940002441,0.9705423332032774,0.9099557995796204
3_class-76,5,0.1724977195262909,0,0.9266634583473206,0.9948850870132446,0.9922753567954676,0.9005193710327148
4_class-36,0,0.485146701335907,0,0.9817624092102051,0.783420205116272,1.0,0.7871150970458984
4_class-36,1,0.48888099193573,1,0.996711790561676,0.9094873666763306,0.4611991504656102,0.9778137803077698
4_class-36,2,0.4533485770225525,0,0.9775398969650269,0.9128513336181641,0.06971009090127032,0.7044032216072083
4_class-36,3,0.462949275970459,0,0.9793698191642761,0.8065289258956909,0.41872451727055926,0.6152369976043701
4_class-36,4,0.4664067327976227,0,0.9860931634902954,0.8066359758377075,0.45122029133657043,0.6827892661094666
4_class-36,5,0.456586092710495,0,0.9782475829124451,0.893051266670227,0.5081079750978125,0.7544813752174377
5_class-56,0,0.43561702966690063,0,0.9935227632522583,0.9697771072387695,1.0,0.9807719588279724
5_class-56,1,0.4264173209667206,1,0.995286226272583,0.9891772270202637,0.7277434353040629,0.9713090658187866
5_class-56,2,0.4347281754016876,0,0.9949275255203247,0.9603986740112305,0.7502637687275796,0.9694768190383911
5_class-56,3,0.39455294609069824,0,0.969424307346344,0.9540517330169678,0.20087209302325582,0.7983775734901428
5_class-56,4,0.4276098906993866,0,0.9952478408813477,0.9834409952163696,0.24808686361142396,0.9622572064399719
5_class-56,5,0.4123452305793762,0,0.990557849407196,0.9299759864807129,0.5859757395190466,0.8645565509796143
6_class-48,0,0.4341966509819031,0,0.9914798140525818,1.000955581665039,1.0,0.9825573563575745
6_class-48,1,0.42462244629859924,0,0.9908863306045532,0.996227502822876,0.9207932293395287,0.9841259121894836
6_class-48,2,0.43427786231040955,1,0.9913890361785889,1.0020893812179565,0.9218923717704064,0.9838739037513733
6_class-48,3,0.6581385731697083,0,0.9824577569961548,1.0005148649215698,0.5849617403402264,0.9748011231422424
6_class-48,4,0.6609586477279663,0,0.9827150106430054,0.9940484762191772,0.9917197787727153,0.9697961211204529
6_class-48,5,0.4346061050891876,0,0.991473376750946,1.0017402172088623,0.5892713237477203,0.982785165309906
7_class-36,0,0.47439661622047424,0,0.9817766547203064,0.9958634376525879,1.0,0.992779552936554
7_class-36,1,0.4734683334827423,0,0.9928308129310608,0.8675909638404846,0.5345911949685535,0.9378164410591125
7_class-36,2,0.4761351943016052,1,0.9924407005310059,0.9675519466400146,0.7808757305739197,0.9771097302436829
7_class-36,3,0.47404444217681885,0,0.9815340042114258,0.9809463024139404,0.6296430185268865,0.9919732213020325
7_class-36,4,0.533552885055542,0,0.9888343214988708,0.924170970916748,0.822104070426218,0.9513808488845825
7_class-36,5,0.46746209263801575,0,0.9819568395614624,0.9077022075653076,0.503137543105885,0.9505891799926758
8_class-40,0,0.95710289478302,0,0.9739951491355896,0.9974220991134644,1.0,0.9775649309158325
8_class-40,1,0.9578022956848145,0,0.9745142459869385,0.9974488019943237,0.9965485834811371,0.9766021370887756
8_class-40,2,0.896172285079956,0,0.9761030673980713,0.9960862398147583,0.8876207787238114,0.9824732542037964
8_class-40,3,0.9556600451469421,0,0.9738219976425171,0.9954057931900024,0.8854757674747359,0.9769229292869568
8_class-40,4,0.9537551403045654,0,0.9739881753921509,0.9912353754043579,0.9964674121161063,0.9747605323791504
8_class-40,5,0.9671297073364258,1,0.9767293334007263,0.9981387853622437,0.9775837975458949,0.9827170372009277
9_class-4,0,0.9420785903930664,0,0.9909411668777466,0.998328447341919,1.0,0.9682000279426575
9_class-4,1,0.9412755966186523,0,0.990883469581604,0.997028112411499,0.9909882388880403,0.9678830504417419
9_class-4,2,0.9413114786148071,0,0.9906144142150879,0.9998689889907837,0.9962905847538865,0.9689939618110657
9_class-4,3,0.9074807167053223,0,0.992651104927063,0.9686700105667114,0.9327160920334416,0.8698853254318237
9_class-4,4,0.9392457008361816,1,0.9910197257995605,0.9985580444335938,0.9228002551609007,0.969072163105011
9_class-4,5,0.9397759437561035,0,0.9910563230514526,0.998447060585022,0.9971917352905265,0.9681927561759949
10_class-0,0,0.27115166187286377,0,0.9465355277061462,1.0176032781600952,1.0,0.9978358745574951
10_class-0,1,0.2711796164512634,0,0.9465042352676392,1.0180667638778687,0.9998712744685782,0.9977856278419495
10_class-0,2,0.27115726470947266,1,0.9467146992683411,1.0177361965179443,0.9998798541085604,0.9978331327438354
10_class-0,3,0.27119266986846924,0,0.9465497732162476,1.0176864862442017,0.999836943462291,0.9977812170982361
10_class-0,4,0.27117589116096497,0,0.9465938806533813,1.0173766613006592,0.9999055915547355,0.9978461861610413
10_class-0,5,0.2711833417415619,0,0.9465800523757935,1.0176784992218018,0.999931339901816,0.997842013835907
11_class-68,0,0.5343719720840454,0,0.9631551504135132,0.9430307149887085,1.0,0.7985237836837769
11_class-68,1,0.5077982544898987,0,0.9254482984542847,0.9617674350738525,0.7457889251252395,0.8711298108100891
11_class-68,2,0.46699532866477966,0,0.9877340197563171,0.9847453832626343,0.15158816055715024,0.9801459312438965
11_class-68,3,0.4672846794128418,1,0.9888205528259277,0.9891772270202637,0.9963208901651113,0.9884793758392334
11_class-68,4,0.6571979522705078,0,0.9904704093933105,0.9014772176742554,0.09650650956820087,0.74513179063797
11_class-68,5,0.39745771884918213,0,0.9645971059799194,0.9695985317230225,0.17107712765957447,0.928553581237793
12_class-40,0,0.474918395280838,0,0.9949702620506287,0.9651142358779907,1.0,0.9434530138969421
12_class-40,1,0.4829702079296112,0,0.9994953870773315,0.962860107421875,0.36893539738822106,0.9746816158294678
12_class-40,2,0.48289939761161804,0,0.9978061318397522,0.9217643737792969,0.5872972229859774,0.9370976090431213
12_class-40,3,0.4814925193786621,0,0.9984058141708374,0.8862712383270264,0.31784684396026913,0.8965858817100525
12_class-40,4,0.46477392315864563,1,0.9964210987091064,0.994070291519165,0.12570145903479238,0.9929211735725403
12_class-40,5,0.4839261472225189,0,0.9992206692695618,0.9048905372619629,0.2065558526095548,0.9632811546325684
13_class-36,0,0.762453556060791,0,0.996436357498169,0.7974936962127686,1.0,0.8545526266098022
13_class-36,1,0.6055665016174316,1,0.9980483055114746,0.934376060962677,0.39839679358717434,0.9863872528076172
13_class-36,2,0.6235988140106201,0,0.9641987681388855,0.7369691133499146,0.08166285483653976,0.6087358593940735
13_class-36,3,0.4563984274864197,0,0.9930579662322998,0.907271146774292,0.019438516937850092,0.6229912042617798
13_class-36,4,0.4063984155654907,0,0.9902685880661011,0.9408994913101196,0.4879824998615495,0.9462689161300659
13_class-36,5,0.4137101471424103,0,0.9845545291900635,0.9168741106987,0.9325311559948432,0.9450053572654724
14_class-28,0,0.4783416986465454,0,0.9967846870422363,0.9587739706039429,1.0,0.9660839438438416
14_class-28,1,0.44419896602630615,0,0.9950647950172424,0.9118382930755615,0.5471816146450679,0.7469284534454346
14_class-28,2,0.5436305403709412,1,0.9950196146965027,0.9732635021209717,0.2279264054079908,0.9864007234573364
14_class-28,3,0.47724923491477966,0,0.9967431426048279,0.9661409854888916,0.4025019962736226,0.9658383727073669
14_class-28,4,0.40399250388145447,0,0.9571232795715332,0.9374253749847412,0.03785894163976541,0.9156996607780457
14_class-28,5,0.4042988717556,0,0.96152663230896,0.9315474033355713,0.9535086933142141,0.9456924200057983
15_class-72,0,0.4429868459701538,0,0.9955770969390869,0.996758222579956,1.0,0.9935033321380615
15_class-72,1,0.4560624361038208,0,0.9956044554710388,0.9945017099380493,0.557417907657798,0.9905943870544434
15_class-72,2,0.4500845968723297,0,0.9947730302810669,0.9522008895874023,0.4224519940915805,0.9381909370422363
15_class-72,3,0.4431265890598297,1,0.9955944418907166,1.000734567642212,0.28779415804413516,0.991180956363678
15_class-72,4,0.5708160400390625,0,0.9935850501060486,0.9806592464447021,0.3262164334439338,0.8945251107215881
15_class-72,5,0.49925971031188965,0,0.9961256980895996,0.9579485654830933,0.4805018168530886,0.8739722371101379
16_class-52,0,0.31484684348106384,0,0.9889739751815796,0.9607548713684082,1.0,0.9005027413368225
16_class-52,1,0.24396516382694244,0,0.9917284250259399,0.940903902053833,0.25820568927789933,0.8189213871955872
16_class-52,2,0.31699755787849426,0,0.9896916747093201,0.9750761985778809,0.24396971002893555,0.9619867205619812
16_class-52,3,0.23109020292758942,0,0.9943153262138367,0.9645383358001709,0.3777792049322458,0.8698080778121948
16_class-52,4,0.31843438744544983,1,0.9882351160049438,0.9855118989944458,0.37316395394998014,0.9755173325538635
16_class-52,5,0.21715469658374786,0,0.9909455180168152,0.9442429542541504,0.536604284658951,0.755405068397522
17_class-32,0,0.38735058903694153,0,0.9743162393569946,0.9582769870758057,1.0,0.8783724308013916
17_class-32,1,0.4166697859764099,0,0.9334839582443237,0.9827671051025391,0.6403855195110484,0.9845417737960815
17_class-32,2,0.358366459608078,1,0.9721784591674805,0.9823654890060425,0.49466597998822837,0.9151081442832947
17_class-32,3,0.3401889204978943,0,0.9621868133544922,0.9857461452484131,0.8499804151978065,0.8864502310752869
17_class-32,4,0.3531949520111084,0,0.9606888294219971,0.9533872604370117,0.8610385351767033,0.8090079426765442
17_class-32,5,0.3424128293991089,0,0.9633766412734985,0.9865288734436035,0.85530064636843,0.8973618149757385
18_class-72,0,0.16444656252861023,0,0.9874470829963684,0.9669754505157471,1.0,0.926147997379303
18_class-72,1,0.16482071578502655,0,0.9877325296401978,0.9613499641418457,0.9909113030782334,0.9119266271591187
18_class-72,2,0.11970951408147812,0,0.9801368713378906,0.9936530590057373,0.6562299024746936,0.9246493577957153
18_class-72,3,0.165033221244812,0,0.987782895565033,0.9580291509628296,0.6587253950039721,0.9104359149932861
18_class-72,4,0.16780050098896027,1,0.9885058999061584,0.9696036577224731,0.9540063289610359,0.9345358610153198
18_class-72,5,0.17039558291435242,0,0.9893018007278442,0.9646257162094116,0.9766599447307491,0.9036219716072083
19_class-12,0,0.638521671295166,0,0.990595817565918,0.922091007232666,1.0,0.8793677687644958
19_class-12,1,0.6265144944190979,0,0.9959107637405396,0.9608792066574097,0.6157091913892571,0.9030243754386902
19_class-12,2,0.7565922737121582,0,0.9918511509895325,0.8987188339233398,0.5974465397455563,0.8126111626625061
19_class-12,3,0.8775612115859985,1,0.996621310710907,0.9532815217971802,0.6669330720841498,0.9553232789039612
19_class-12,4,0.4201841950416565,0,0.9953242540359497,0.9341957569122314,0.08283494878669141,0.9113032817840576
19_class-12,5,0.3992423713207245,0,0.9941283464431763,0.9503480195999146,0.6246785816323291,0.9339438676834106
20_class-48,0,0.6100663542747498,0,0.895747721195221,0.9248166084289551,1.0,0.4554958641529083
20_class-48,1,0.584410548210144,0,0.9348604083061218,0.9446258544921875,0.7711738376605947,0.5268317461013794
20_class-48,2,0.7836996912956238,0,0.8268029689788818,0.9566730260848999,0.6860507805898567,0.6924645900726318
20_class-48,3,0.7813464403152466,0,0.7851146459579468,0.9691768884658813,0.941230299388654,0.8052011728286743
20_class-48,4,0.25384998321533203,1,0.9692345857620239,0.9299592971801758,0.2457687329606477,0.7098729014396667
20_class-48,5,0.43636226654052734,0,0.9698507785797119,0.8963155746459961,0.34774967045383215,0.5098023414611816
21_class-60,0,0.7800489068031311,0,0.9534540176391602,1.0108885765075684,1.0,0.9860973954200745
21_class-60,1,0.7796814441680908,0,0.9536957740783691,1.0134179592132568,0.9988190446418492,0.986365020275116
21_class-60,2,0.7801386117935181,0,0.9535645842552185,1.0147186517715454,0.9978392544126069,0.9860211610794067
21_class-60,3,0.7795747518539429,1,0.9539176225662231,1.0133134126663208,0.9976831162520283,0.9863430857658386
21_class-60,4,0.7808084487915039,0,0.9535573124885559,1.0110507011413574,0.9974846913109096,0.9860092997550964
21_class-60,5,0.7808145880699158,0,0.9533349275588989,1.0113619565963745,0.9993147476710095,0.9862877726554871
22_class-4,0,0.907974123954773,0,0.9962615966796875,0.9983395338058472,1.0,0.9920662641525269
22_class-4,1,0.9079471826553345,1,0.9962483644485474,0.9984617233276367,0.998532683296256,0.9920850992202759
22_class-4,2,0.9068490862846375,0,0.9962134957313538,0.879310131072998,0.986908644075807,0.9838852286338806
22_class-4,3,0.12459039688110352,0,0.6607694625854492,0.875481367111206,0.016302911165475508,0.18539133667945862
22_class-4,4,0.9077832698822021,0,0.9962536692619324,0.9983311891555786,0.016482962322599236,0.9919703006744385
22_class-4,5,0.9079846143722534,0,0.9962603449821472,0.9983571767807007,0.9984852788033702,0.9921674132347107
23_class-60,0,0.29291221499443054,0,0.9658841490745544,0.9673095941543579,1.0,0.875858724117279
23_class-60,1,0.34223586320877075,0,0.9450654983520508,0.9552899599075317,0.8319660726410579,0.7635409832000732
23_class-60,2,0.2901507616043091,0,0.9641199111938477,0.9753835201263428,0.8240642842038486,0.8845001459121704
23_class-60,3,0.36112868785858154,0,0.940796971321106,0.9565283060073853,0.7992295490595966,0.7290152907371521
