benchmark,num_episodes,original_miou,guarded_miou,miou_delta,original_ndr,guarded_ndr,ndr_delta,original_avg_iter,guarded_avg_iter
FSS-1000,2400,0.9038320019,0.9059065089,0.0020745070,0.6500000000,0.8370833333,0.1870833333,2.4920833333,1.2370833333
COCO-20i,1000,0.6982077697,0.6949557456,-0.0032520241,0.6680000000,0.8240000000,0.1560000000,2.3530000000,1.3270000000
