fold,num_samples,original_miou,original_ndr,support_fg_miou,support_fg_ndr,support_fg_delta_miou,support_fg_delta_ndr,support_fg_fallback,support_decoder_fg_miou,support_decoder_fg_ndr,support_decoder_fg_delta_miou,support_decoder_fg_delta_ndr,support_decoder_fg_fallback
0,300,0.70841441,0.42333333,0.72508753,0.73666667,0.01667312,0.31333333,0.38333333,0.71261425,0.77666667,0.00419983,0.35333333,0.46666667
1,300,0.65998293,0.37333333,0.66743260,0.67333333,0.00744967,0.30000000,0.38666667,0.67123570,0.74666667,0.01125277,0.37333333,0.49000000
2,300,0.61723559,0.41000000,0.62717065,0.71333333,0.00993507,0.30333333,0.41666667,0.62884114,0.76000000,0.01160555,0.35000000,0.49333333
3,300,0.60161334,0.41666667,0.61092431,0.65000000,0.00931097,0.23333333,0.30333333,0.60997921,0.70666667,0.00836587,0.29000000,0.39333333
