fold,sample_id,obj_name,baseline_miou,original_miou,original_iter,original_non_degraded,original_fallback,original_delta_vs_baseline,original_delta_vs_original,support_fg_miou,support_fg_iter,support_fg_fallback,support_fg_non_degraded,support_fg_delta_vs_baseline,support_fg_delta_vs_original,support_decoder_fg_miou,support_decoder_fg_iter,support_decoder_fg_fallback,support_decoder_fg_non_degraded,support_decoder_fg_delta_vs_baseline,support_decoder_fg_delta_vs_original
1,fold1:713_class-8,713_class-8,0.44006285,0.44006285,0,1,0,0.00000000,0.00000000,0.44006285,0,0,1,0.00000000,0.00000000,0.44006285,0,0,1,0.00000000,0.00000000
1,fold1:714_class-6,714_class-6,0.10747737,0.17691255,5,1,0,0.06943518,0.00000000,0.10747737,0,1,1,0.00000000,-0.06943518,0.10747737,0,1,1,0.00000000,-0.06943518
1,fold1:715_class-7,715_class-7,0.64792538,0.62405479,1,0,0,-0.02387059,0.00000000,0.62405479,1,0,0,-0.02387059,0.00000000,0.62405479,1,0,0,-0.02387059,0.00000000
1,fold1:716_class-6,716_class-6,0.92124665,0.92124665,0,1,0,0.00000000,0.00000000,0.92124665,0,0,1,0.00000000,0.00000000,0.92124665,0,0,1,0.00000000,0.00000000
1,fold1:717_class-9,717_class-9,0.98938829,0.91859281,2,0,0,-0.07079548,0.00000000,0.91859281,2,0,0,-0.07079548,0.00000000,0.98938829,0,1,1,0.00000000,0.07079548
1,fold1:718_class-6,718_class-6,0.52943659,0.52943659,0,1,0,0.00000000,0.00000000,0.52943659,0,0,1,0.00000000,0.00000000,0.52943659,0,0,1,0.00000000,0.00000000
1,fold1:719_class-7,719_class-7,0.96659040,0.44553635,4,0,0,-0.52105406,0.00000000,0.44553635,4,0,0,-0.52105406,0.00000000,0.96659040,0,1,1,0.00000000,0.52105406
1,fold1:720_class-5,720_class-5,0.95465851,0.94365251,1,0,0,-0.01100600,0.00000000,0.94365251,1,0,0,-0.01100600,0.00000000,0.94365251,1,0,0,-0.01100600,0.00000000
1,fold1:721_class-6,721_class-6,0.45107484,0.97435206,1,1,0,0.52327722,0.00000000,0.97435206,1,0,1,0.52327722,0.00000000,0.97435206,1,0,1,0.52327722,0.00000000
1,fold1:722_class-8,722_class-8,0.31689078,0.37233856,4,1,0,0.05544779,0.00000000,0.37233856,4,0,1,0.05544779,0.00000000,0.37233856,4,0,1,0.05544779,0.00000000
1,fold1:723_class-5,723_class-5,0.99823916,0.97102785,1,0,0,-0.02721131,0.00000000,0.99823916,0,1,1,0.00000000,0.02721131,0.99823916,0,1,1,0.00000000,0.02721131
