obj_name,original_iter,original_miou,baseline_miou_original,oracle_miou_original,guarded_iter,guarded_miou,baseline_miou_guarded,oracle_miou_guarded,guarded_delta_vs_original,original_delta_vs_baseline,guarded_delta_vs_baseline,original_non_degraded,guarded_non_degraded,ndr_transition
0_class-760,0,0.9813274145,0.9813274145,0.9814784527,0,0.9813274145,0.9813274145,0.9814784527,0.0000000000,0.0000000000,0.0000000000,1,1,0
1_class-760,2,0.9738668203,0.9744238853,0.9757140875,0,0.9744238853,0.9744238853,0.9757140875,0.0005570650,-0.0005570650,0.0000000000,0,1,1
2_class-760,4,0.9772538543,0.9058039188,0.9772538543,0,0.9058039188,0.9058039188,0.9772538543,-0.0714499354,0.0714499354,0.0000000000,1,1,0
3_class-760,1,0.9643460512,0.9654957056,0.9654957056,0,0.9654957056,0.9654957056,0.9654957056,0.0011496544,-0.0011496544,0.0000000000,0,1,1
4_class-760,4,0.9258130789,0.9717376828,0.9717376828,0,0.9717376828,0.9717376828,0.9717376828,0.0459246039,-0.0459246039,0.0000000000,0,1,1
5_class-760,4,0.8971329927,0.9088302255,0.9186780453,0,0.9088302255,0.9088302255,0.9186780453,0.0116972327,-0.0116972327,0.0000000000,0,1,1
6_class-760,5,0.9335729480,0.9401433468,0.9415881634,0,0.9401433468,0.9401433468,0.9415881634,0.0065703988,-0.0065703988,0.0000000000,0,1,1
7_class-760,2,0.8776462078,0.8779630661,0.8788494468,2,0.8776462078,0.8779630661,0.8788494468,0.0000000000,-0.0003168583,-0.0003168583,0,0,0
8_class-760,3,0.9629740715,0.9645647407,0.9645647407,0,0.9645647407,0.9645647407,0.9645647407,0.0015906692,-0.0015906692,0.0000000000,0,1,1
9_class-760,5,0.9465957880,0.9441146255,0.9465957880,0,0.9441146255,0.9441146255,0.9465957880,-0.0024811625,0.0024811625,0.0000000000,1,1,0
10_class-761,1,0.9743086100,0.9742160439,0.9747468829,1,0.9743086100,0.9742160439,0.9747468829,0.0000000000,0.0000925660,0.0000925660,1,1,0
11_class-761,3,0.9760534763,0.9760540724,0.9763821363,0,0.9760540724,0.9760540724,0.9763821363,0.0000005960,-0.0000005960,0.0000000000,0,1,1
12_class-761,3,0.9374163747,0.9341206551,0.9374163747,0,0.9341206551,0.9341206551,0.9374163747,-0.0032957196,0.0032957196,0.0000000000,1,1,0
13_class-761,5,0.9712018967,0.9714252353,0.9719095230,5,0.9712018967,0.9714252353,0.9719095230,0.0000000000,-0.0002233386,-0.0002233386,0,0,0
14_class-761,2,0.9197050333,0.9223639965,0.9244493246,2,0.9197050333,0.9223639965,0.9244493246,0.0000000000,-0.0026589632,-0.0026589632,0,0,0
15_class-761,2,0.9574148655,0.9552655220,0.9574148655,2,0.9574148655,0.9552655220,0.9574148655,0.0000000000,0.0021493435,0.0021493435,1,1,0
16_class-761,1,0.9734572172,0.8107621074,0.9734572172,0,0.8107621074,0.8107621074,0.9734572172,-0.1626951098,0.1626951098,0.0000000000,1,1,0
17_class-761,0,0.9710486531,0.9710486531,0.9710661173,0,0.9710486531,0.9710486531,0.9710661173,0.0000000000,0.0000000000,0.0000000000,1,1,0
18_class-761,3,0.9597378969,0.9566269517,0.9612786770,3,0.9597378969,0.9566269517,0.9612786770,0.0000000000,0.0031109452,0.0031109452,1,1,0
19_class-761,3,0.9561273456,0.9555139542,0.9593555927,0,0.9555139542,0.9555139542,0.9593555927,-0.0006133914,0.0006133914,0.0000000000,1,1,0
20_class-762,0,0.9427965283,0.9427965283,0.9505213499,0,0.9427965283,0.9427965283,0.9505213499,0.0000000000,0.0000000000,0.0000000000,1,1,0
21_class-762,0,0.9475061893,0.9475061893,0.9475061893,0,0.9475061893,0.9475061893,0.9475061893,0.0000000000,0.0000000000,0.0000000000,1,1,0
22_class-762,1,0.9571546912,0.9475554824,0.9571546912,1,0.9571546912,0.9475554824,0.9571546912,0.0000000000,0.0095992088,0.0095992088,1,1,0
23_class-762,5,0.9336713552,0.9289288521,0.9336713552,0,0.9289288521,0.9289288521,0.9336713552,-0.0047425032,0.0047425032,0.0000000000,1,1,0
24_class-762,0,0.8680666089,0.8680666089,0.9472885132,0,0.8680666089,0.8680666089,0.9472885132,0.0000000000,0.0000000000,0.0000000000,1,1,0
25_class-762,3,0.9260272980,0.9131250381,0.9295969009,0,0.9131250381,0.9131250381,0.9295969009,-0.0129022598,0.0129022598,0.0000000000,1,1,0
26_class-762,3,0.7277299166,0.7272858620,0.7284688950,3,0.7277299166,0.7272858620,0.7284688950,0.0000000000,0.0004440546,0.0004440546,1,1,0
27_class-762,3,0.9418810010,0.9380093813,0.9418810010,0,0.9380093813,0.9380093813,0.9418810010,-0.0038716197,0.0038716197,0.0000000000,1,1,0
28_class-762,2,0.9329269528,0.8937852383,0.9329269528,0,0.8937852383,0.8937852383,0.9329269528,-0.0391417146,0.0391417146,0.0000000000,1,1,0
29_class-762,2,0.9646850824,0.9645769000,0.9647115469,2,0.9646850824,0.9645769000,0.9647115469,0.0000000000,0.0001081824,0.0001081824,1,1,0
