generator,benchmark,eligible_proposals,degraded_proposals,degradation_prevalence,temporal_deficit_auroc,temporal_deficit_average_precision,mean_temporal_deficit,median_temporal_deficit,bootstrap_repetitions,bootstrap_seed,auroc_ci_low,auroc_ci_high,average_precision_ci_low,average_precision_ci_high
PerSAM-F-compatible,FSS-1000,2882,1166,0.40458015267175573,0.45572444993542766,0.3646789768455726,0.15228537528288888,0.005087507184819706,2000,20260908,0.4350034996905787,0.47626177801947694,0.34511284818059157,0.3853435379573398
PerSAM-F-compatible,COCO-20i,6291,2109,0.33524082021936097,0.43125831789654184,0.29634559341666095,0.496339305947767,0.5360673507143381,2000,20260909,0.41649177191997144,0.4462890905194453,0.2810951868484345,0.3107338963687326
PerSAM-F-compatible,Pascal-5i,5285,3574,0.6762535477767266,0.2692322661523563,0.5503664713869998,0.33525420569178943,0.213631122170298,2000,20260910,0.25530949268436487,0.2827509970644531,0.5345245866420519,0.5671160751270353
Matcher,FSS-1000,1008,391,0.3878968253968254,0.3879094869573508,0.31397544969220104,0.09287543341080931,0.006053353553045815,2000,20260911,0.3551949284754949,0.424645602703824,0.28523659710817995,0.3470642389494046
Matcher,COCO-20i,455,176,0.3868131868131868,0.44450553926360376,0.3515316831991846,0.24667220433986334,0.13106682297772565,2000,20260912,0.39026464812846934,0.49709995984917515,0.3009403414153765,0.40977085610744396
