generator,benchmark,num_episodes,threshold,accepted_count,coverage,degradation_count,conditional_degradation_risk,conditional_excess_miou_loss,conditional_mean_delta_miou,mean_baseline_miou,overall_selected_miou,overall_gain_over_baseline,overall_ndr,baseline_output_rate,gate_fallback_rate,maximum_refinement_coverage,is_default_tau,is_original_endpoint
Matcher,FSS-1000,2400,inf,0,0.0,0,0.0,0.0,0.0,0.884484056958269,0.884484056958269,0.0,1.0,1.0,0.8316666666666667,0.8316666666666667,0,0
Matcher,FSS-1000,2400,0.2516089677810669,1,0.0004166666666666667,0,0.0,0.0,0.8776890225708485,0.884484056958269,0.8848497607176735,0.0003657037594045202,1.0,0.9995833333333334,0.83125,0.8316666666666667,0,0
Matcher,FSS-1000,2400,0.23793631792068481,2,0.0008333333333333334,0,0.0,0.0,0.9033143175765872,0.884484056958269,0.8852368188895828,0.0007527619313138226,1.0,0.9991666666666666,0.8308333333333333,0.8316666666666667,0,0
Matcher,FSS-1000,2400,0.21268779039382935,3,0.00125,0,0.0,0.0,0.9124515031774839,0.884484056958269,0.8856246213372408,0.001140564378971855,1.0,0.99875,0.8304166666666667,0.8316666666666667,0,0
Matcher,FSS-1000,2400,0.19447189569473267,4,0.0016666666666666668,0,0.0,0.0,0.9041921775788069,0.884484056958269,0.8859910439209003,0.0015069869626313447,1.0,0.9983333333333333,0.83,0.8316666666666667,0,0
Matcher,FSS-1000,2400,0.1835421919822693,5,0.0020833333333333333,0,0.0,0.0,0.8581359073519707,0.884484056958269,0.8862718400985856,0.0017877831403166056,1.0,0.9979166666666667,0.8295833333333333,0.8316666666666667,0,0
Matcher,FSS-1000,2400,0.17991679906845093,6,0.0025,0,0.0,0.0,0.8550328000759085,0.884484056958269,0.8866216389584588,0.0021375820001897712,1.0,0.9975,0.8291666666666667,0.8316666666666667,0,0
Matcher,FSS-1000,2400,0.17969143390655518,7,0.002916666666666667,0,0.0,0.0,0.850927028006741,0.884484056958269,0.8869659274566221,0.0024818704983529945,1.0,0.9970833333333333,0.82875,0.8316666666666667,0,0
Matcher,FSS-1000,2400,0.1723107099533081,8,0.0033333333333333335,0,0.0,0.0,0.8495345374103636,0.884484056958269,0.8873158387496369,0.0028317817913678786,1.0,0.9966666666666667,0.8283333333333334,0.8316666666666667,0,0
Matcher,FSS-1000,2400,0.16902905702590942,9,0.00375,0,0.0,0.0,0.8329735230654478,0.884484056958269,0.8876077076697645,0.0031236507114954294,1.0,0.99625,0.8279166666666666,0.8316666666666667,0,0
Matcher,FSS-1000,2400,0.16879040002822876,10,0.004166666666666667,0,0.0,0.0,0.813791504316032,0.884484056958269,0.8878748548929192,0.003390797934650133,1.0,0.9958333333333333,0.8275,0.8316666666666667,0,0
Matcher,FSS-1000,2400,0.16588014364242554,11,0.004583333333333333,0,0.0,0.0,0.8162950018251484,0.884484056958269,0.8882254090499676,0.003741352091698597,1.0,0.9954166666666666,0.8270833333333333,0.8316666666666667,0,0
Matcher,FSS-1000,2400,0.16471350193023682,12,0.005,0,0.0,0.0,0.8283554222434759,0.884484056958269,0.8886258340694864,0.004141777111217379,1.0,0.995,0.8266666666666667,0.8316666666666667,0,0
Matcher,FSS-1000,2400,0.1626274585723877,13,0.005416666666666667,1,0.07692307692307693,0.010031351676354041,0.7546044227022392,0.884484056958269,0.8885714975812395,0.004087440622970462,0.9995833333333334,0.9945833333333334,0.82625,0.8316666666666667,0,0
Matcher,FSS-1000,2400,0.157659649848938,14,0.005833333333333334,1,0.07142857142857142,0.009314826556614466,0.748741592679705,0.884484056958269,0.8888517162489007,0.004367659290631612,0.9995833333333334,0.9941666666666666,0.8258333333333333,0.8316666666666667,0,0
Matcher,FSS-1000,2400,0.1558523178100586,15,0.00625,1,0.06666666666666667,0.008693838119506836,0.7389691313107808,0.884484056958269,0.8891026140289614,0.0046185570706923805,0.9995833333333334,0.99375,0.8254166666666667,0.8316666666666667,0,0
Matcher,FSS-1000,2400,0.1546899676322937,16,0.006666666666666667,1,0.0625,0.008150473237037659,0.731450455263257,0.884484056958269,0.8893603933266907,0.0048763363684217135,0.9995833333333334,0.9933333333333333,0.825,0.8316666666666667,0,0
Matcher,FSS-1000,2400,0.1507856249809265,17,0.007083333333333333,1,0.058823529411764705,0.0076710336348589725,0.7231095520889058,0.884484056958269,0.8896060829522321,0.0051220259939630825,0.9995833333333334,0.9929166666666667,0.8245833333333333,0.8316666666666667,0,0
Matcher,FSS-1000,2400,0.14812153577804565,18,0.0075,1,0.05555555555555555,0.00724486509958903,0.7282244701766305,0.884484056958269,0.8899457404845937,0.005461683526324729,0.9995833333333334,0.9925,0.8241666666666667,0.8316666666666667,0,0
Matcher,FSS-1000,2400,0.14718669652938843,19,0.007916666666666667,1,0.05263157894736842,0.006863556410136975,0.7338621947718295,0.884484056958269,0.890293799333546,0.005809742375276983,0.9995833333333334,0.9920833333333333,0.82375,0.8316666666666667,0,0
Matcher,FSS-1000,2400,0.14673852920532227,20,0.008333333333333333,1,0.05,0.006520378589630127,0.7351594047620893,0.884484056958269,0.8906103853312864,0.006126328373017411,0.9995833333333334,0.9916666666666667,0.8233333333333334,0.8316666666666667,0,0
Matcher,FSS-1000,2400,0.14254510402679443,21,0.00875,1,0.047619047619047616,0.006209884371076312,0.7320214980060146,0.884484056958269,0.8908892450658217,0.006405188107552627,0.9995833333333334,0.99125,0.8229166666666666,0.8316666666666667,0,0
Matcher,FSS-1000,2400,0.13346952199935913,22,0.009166666666666667,1,0.045454545454545456,0.005927616899663752,0.7283696256239306,0.884484056958269,0.8911607785264885,0.006676721568219364,0.9995833333333334,0.9908333333333333,0.8225,0.8316666666666667,0,0
Matcher,FSS-1000,2400,0.13207721710205078,23,0.009583333333333333,1,0.043478260869565216,0.0056698944257653275,0.7298235097981017,0.884484056958269,0.8914781989271675,0.006994141968898475,0.9995833333333334,0.9904166666666667,0.8220833333333334,0.8316666666666667,0,0
Matcher,FSS-1000,2400,0.131039559841156,24,0.01,1,0.041666666666666664,0.0054336488246917725,0.7286473715988299,0.884484056958269,0.8917705306742574,0.007286473715988298,0.9995833333333334,0.99,0.8216666666666667,0.8316666666666667,0,0
Matcher,FSS-1000,2400,0.1309078335762024,25,0.010416666666666666,1,0.04,0.005216302871704101,0.7163491635024548,0.884484056958269,0.8919460274114196,0.00746197045315057,0.9995833333333334,0.9895833333333334,0.82125,0.8316666666666667,0,0
Matcher,FSS-1000,2400,0.1300789713859558,26,0.010833333333333334,1,0.038461538461538464,0.005015675838177021,0.7188847327175049,0.884484056958269,0.892271974896042,0.00778791793777297,0.9995833333333334,0.9891666666666666,0.8208333333333333,0.8316666666666667,0,0
Matcher,FSS-1000,2400,0.12622106075286865,27,0.01125,1,0.037037037037037035,0.004829910066392686,0.7116397198427606,0.884484056958269,0.8924900038065001,0.008005946848231056,0.9995833333333334,0.98875,0.8204166666666667,0.8316666666666667,0,0
