generator,benchmark,nonbaseline_proposals,valid_margins,degraded_proposals,degradation_prevalence,auroc,auroc_ci_low,auroc_ci_high,average_precision,average_precision_ci_low,average_precision_ci_high,rejection_precision,false_rejection_fraction,accepted_conditional_risk,accepted_non_degradation,rescue_fraction_of_degraded,bootstrap_repetitions,bootstrap_seed
PerSAM-F-compatible,FSS-1000,6022,6022,2641,0.4385586183992029,0.5433462784715486,0.5293061315362942,0.5578093430745444,0.45245223654139166,0.4351418770788831,0.470158251858273,0.4697452229299363,0.5302547770700636,0.40458015267175573,0.5954198473282443,0.5585005679666792,2000,20260907
PerSAM-F-compatible,COCO-20i,9985,9985,3986,0.3991987981972959,0.6292901342396336,0.6182636684493068,0.6402489319729656,0.4881911284337353,0.47367160358433785,0.5046227577032867,0.508121277747699,0.491878722252301,0.33524082021936097,0.664759179780639,0.4708981435022579,2000,20260907
PerSAM-F-compatible,Pascal-5i,10025,10025,7371,0.7352618453865337,0.6326980814546753,0.6178658508678847,0.6480048578916775,0.7610224211122306,0.7489419758116318,0.7731232403037707,0.8010548523206751,0.19894514767932492,0.6762535477767266,0.32374645222327336,0.5151268484601818,2000,20260907
Matcher,FSS-1000,1996,1996,840,0.42084168336673344,0.5745386389850058,0.5490917222098654,0.6006350880383691,0.48448421463132196,0.45069232634736056,0.5194384185397425,0.45445344129554655,0.5455465587044535,0.3878968253968254,0.6121031746031746,0.5345238095238095,2000,20260907
Matcher,COCO-20i,806,806,332,0.4119106699751861,0.5452823954044024,0.5047075012869521,0.5834611958705834,0.42486599174209566,0.3797502100689579,0.4750041865248037,0.4444444444444444,0.5555555555555556,0.3868131868131868,0.6131868131868132,0.46987951807228917,2000,20260907
