generator,benchmark,episodes,nonbaseline_proposals,matched_rejections,gate_fallback_rate,refinement_coverage,baseline_miou,original_miou,random_miou_mean,random_miou_ci_low,random_miou_ci_high,guarded_miou,guarded_minus_random_miou_mean,guarded_minus_random_miou_ci_low,guarded_minus_random_miou_ci_high,original_ndr,random_ndr_mean,random_ndr_ci_low,random_ndr_ci_high,guarded_ndr,random_conditional_risk_mean,random_conditional_risk_ci_low,random_conditional_risk_ci_high,guarded_conditional_risk,random_repetitions,random_seed
PerSAM-F-compatible,FSS-1000,7200,6022,3140,0.4361111111111111,0.4002777777777778,0.8578307747619369,0.8850438402285928,0.8708525099362748,0.8690699930948895,0.872676611676492,0.8795127479933823,0.008660238057107373,0.006836136316890307,0.010442754898492739,0.6331944444444444,0.824457,0.8193055555555555,0.8297222222222221,0.8380555555555556,0.4385529493407355,0.4253990284524636,0.45142262317834836,0.40458015267175573,10000,20260907
PerSAM-F-compatible,COCO-20i,12000,9985,3694,0.30783333333333335,0.52425,0.5351710284367146,0.5656376480246059,0.5543679053714362,0.5529876820422206,0.5557467971183225,0.5659790691201342,0.0116111637486979,0.010232272001811617,0.01299138707791354,0.6678333333333333,0.7907338916666665,0.7868333333333333,0.7945833333333333,0.82425,0.3991723573358767,0.39182959783818155,0.4066126212048959,0.33524082021936097,10000,20260907
PerSAM-F-compatible,Pascal-5i,12000,10025,4740,0.395,0.4404166666666667,0.6696507865997877,0.6521933384799757,0.6604413562841029,0.6588150690805543,0.6620755593610396,0.6691993149689595,0.008757958684856482,0.007123755607919888,0.010384245888405155,0.38575,0.6761587833333333,0.6725833333333333,0.6798333333333333,0.7021666666666667,0.7353064522232734,0.7269631031220435,0.7434247871333964,0.6762535477767266,10000,20260907
Matcher,FSS-1000,2400,1996,988,0.4116666666666667,0.42,0.884484056958269,0.9038320019321205,0.8942312873622373,0.8917183585000311,0.8967331629922991,0.9059065089140009,0.011675221551763593,0.009173345921701798,0.014188150413969827,0.65,0.8232608749999999,0.8141666666666667,0.8325,0.8370833333333333,0.42080744047619045,0.39880952380952384,0.44246031746031744,0.3878968253968254,10000,20260907
Matcher,COCO-20i,1000,806,351,0.351,0.455,0.6810136221852153,0.698207769740955,0.6907291657866276,0.6876967411555932,0.6938004192766996,0.6949557455918984,0.00422657980527095,0.001155326315198843,0.007259004436305232,0.668,0.8126729,0.799,0.8270000000000001,0.824,0.4117079120879121,0.3802197802197802,0.44175824175824174,0.3868131868131868,10000,20260907
