obj_name,original_iter,original_miou,baseline_miou_original,oracle_miou_original,guarded_iter,guarded_miou,baseline_miou_guarded,oracle_miou_guarded,guarded_delta_vs_original,original_delta_vs_baseline,guarded_delta_vs_baseline,original_non_degraded,guarded_non_degraded,ndr_transition,benchmark,fallback_applied_x,fallback_applied_y,ndr_delta
224_class-76,0,0.9293884635,0.9293884635,0.9303774834,0,0.9293884635,0.9293884635,0.9303774834,0.0000000000,0.0000000000,0.0000000000,1,1,,COCO-20i,False,False,0.0000000000
225_class-24,1,0.5850847363,0.5850913525,0.5850913525,0,0.5850913525,0.5850913525,0.5850913525,0.0000066161,-0.0000066161,0.0000000000,0,1,,COCO-20i,False,True,1.0000000000
226_class-28,2,0.9374394417,0.9315690398,0.9423723221,2,0.9374394417,0.9315690398,0.9423723221,0.0000000000,0.0058704019,0.0058704019,1,1,,COCO-20i,False,False,0.0000000000
227_class-48,5,0.9709284306,0.9713826180,0.9714163542,5,0.9709284306,0.9713826180,0.9714163542,0.0000000000,-0.0004541874,-0.0004541874,0,0,,COCO-20i,False,False,0.0000000000
228_class-20,5,0.7736499906,0.7805627584,0.7842944264,0,0.7805627584,0.7805627584,0.7842944264,0.0069127679,-0.0069127679,0.0000000000,0,1,,COCO-20i,False,True,1.0000000000
229_class-56,2,0.3038550615,0.3400733173,0.3771653473,2,0.3038550615,0.3400733173,0.3771653473,0.0000000000,-0.0362182558,-0.0362182558,0,0,,COCO-20i,False,False,0.0000000000
230_class-64,3,0.9653590918,0.9710162282,0.9710162282,3,0.9653590918,0.9710162282,0.9710162282,0.0000000000,-0.0056571364,-0.0056571364,0,0,,COCO-20i,False,False,0.0000000000
231_class-72,2,0.3708809614,0.3709471524,0.3836133182,0,0.3709471524,0.3709471524,0.3836133182,0.0000661910,-0.0000661910,0.0000000000,0,1,,COCO-20i,False,True,1.0000000000
232_class-32,2,0.9290007353,0.9297738671,0.9331240058,2,0.9290007353,0.9297738671,0.9331240058,0.0000000000,-0.0007731318,-0.0007731318,0,0,,COCO-20i,False,False,0.0000000000
233_class-20,1,0.9045661688,0.9024363756,0.9045661688,0,0.9024363756,0.9024363756,0.9045661688,-0.0021297932,0.0021297932,0.0000000000,1,1,,COCO-20i,False,True,0.0000000000
234_class-0,1,0.9392076731,0.9250016809,0.9399085045,1,0.9392076731,0.9250016809,0.9399085045,0.0000000000,0.0142059922,0.0142059922,1,1,,COCO-20i,False,False,0.0000000000
235_class-68,1,0.5378123522,0.5327339172,0.6067171097,0,0.5327339172,0.5327339172,0.6067171097,-0.0050784349,0.0050784349,0.0000000000,1,1,,COCO-20i,False,True,0.0000000000
236_class-28,5,0.9400850534,0.9215837717,0.9603297710,5,0.9400850534,0.9215837717,0.9603297710,0.0000000000,0.0185012817,0.0185012817,1,1,,COCO-20i,False,False,0.0000000000
