benchmark,seed,fold,method,obj_name,baseline_miou,selected_miou,selected_iter,fallback,non_degraded,oracle_miou
FSS-1000,42,0,original,59_class-765,0.8909648061,0.8916183710,2,0,1,0.8916183710
FSS-1000,42,0,original,60_class-766,0.9864844084,0.9864760637,3,0,0,0.9875035286
FSS-1000,42,0,original,61_class-766,0.6461707354,0.9822460413,3,0,1,0.9822460413
FSS-1000,42,0,original,62_class-766,0.9871859550,0.9871311784,3,0,0,0.9871859550
FSS-1000,42,0,original,63_class-766,0.3641554415,0.3641447127,2,0,0,0.3641597331
FSS-1000,42,0,original,64_class-766,0.8244953156,0.9582055807,5,0,1,0.9728250504
FSS-1000,42,0,original,65_class-766,0.9771862626,0.9770509005,4,0,0,0.9772911072
FSS-1000,42,0,original,66_class-766,0.8180969357,0.9507143497,3,0,1,0.9507143497
FSS-1000,42,0,original,67_class-766,0.9756464362,0.9756464362,0,0,1,0.9756464362
FSS-1000,42,0,original,68_class-766,0.1831806749,0.5237647295,5,0,1,0.5237647295
FSS-1000,42,0,original,69_class-766,0.9868845940,0.9840393066,2,0,0,0.9869437218
FSS-1000,42,0,original,70_class-767,0.9566236138,0.9567948580,4,0,1,0.9610224962
FSS-1000,42,0,original,71_class-767,0.8141393661,0.8633539677,5,0,1,0.8633539677
FSS-1000,42,0,original,72_class-767,0.9614340067,0.9606936574,2,0,0,0.9617466927
FSS-1000,42,0,original,73_class-767,0.9293674827,0.9296473861,4,0,1,0.9296549559
FSS-1000,42,0,original,74_class-767,0.8108321428,0.8108719587,1,0,1,0.8108719587
FSS-1000,42,0,original,75_class-767,0.3240005970,0.9007214308,1,0,1,0.9007214308
FSS-1000,42,0,original,76_class-767,0.9571640491,0.9571640491,0,0,1,0.9571640491
FSS-1000,42,0,original,77_class-767,0.9733042717,0.9733042717,0,0,1,0.9734505415
FSS-1000,42,0,original,78_class-767,0.9257498980,0.9266147017,1,0,1,0.9266147017
FSS-1000,42,0,original,79_class-767,0.9357054234,0.9375294447,2,0,1,0.9376940727
FSS-1000,42,0,original,80_class-768,0.3641986251,0.3874097168,2,0,1,0.3874097168
FSS-1000,42,0,original,81_class-768,0.9717057943,0.9795056581,3,0,1,0.9795056581
FSS-1000,42,0,original,82_class-768,0.9782712460,0.9781723022,1,0,0,0.9783772230
FSS-1000,42,0,original,83_class-768,0.9864419699,0.9866641760,3,0,1,0.9869028926
FSS-1000,42,0,original,84_class-768,0.9422959685,0.7839444876,4,0,0,0.9422959685
FSS-1000,42,0,original,85_class-768,0.7967045307,0.9785683155,1,0,1,0.9797413349
FSS-1000,42,0,original,86_class-768,0.3124859035,0.9804575443,5,0,1,0.9805223346
FSS-1000,42,0,original,87_class-768,0.5457097888,0.5493190885,1,0,1,0.6659109592
FSS-1000,42,0,original,88_class-768,0.9753634930,0.6680075526,3,0,0,0.9757738113
FSS-1000,42,0,original,89_class-768,0.9905983806,0.9914371967,3,0,1,0.9915643334
FSS-1000,42,0,original,90_class-769,0.3658573031,0.5308471918,4,0,1,0.5308471918
FSS-1000,42,0,original,91_class-769,0.9637483358,0.9610515833,5,0,0,0.9640226364
FSS-1000,42,0,original,92_class-769,0.8097858429,0.8097858429,0,0,1,0.8098990917
FSS-1000,42,0,original,93_class-769,0.9323368073,0.9323176742,2,0,0,0.9323368073
FSS-1000,42,0,original,94_class-769,0.9506589770,0.9503214359,1,0,0,0.9507955909
FSS-1000,42,0,original,95_class-769,0.9753435254,0.9750184417,3,0,0,0.9753435254
FSS-1000,42,0,original,96_class-769,0.7884198427,0.7795240283,5,0,0,0.9633850455
FSS-1000,42,0,original,97_class-769,0.9490660429,0.9471670389,1,0,0,0.9520383477
FSS-1000,42,0,original,98_class-769,0.9692026377,0.9692026377,0,0,1,0.9695473909
FSS-1000,42,0,original,99_class-769,0.9689986706,0.9688979983,5,0,0,0.9690327644
FSS-1000,42,0,original,100_class-770,0.8914929628,0.8918991089,4,0,1,0.8925622702
FSS-1000,42,0,original,101_class-770,0.9533521533,0.9531589150,1,0,0,0.9533528090
FSS-1000,42,0,original,102_class-770,0.9809567332,0.9809567332,0,0,1,0.9809567332
FSS-1000,42,0,original,103_class-770,0.9726776481,0.9725666046,4,0,0,0.9728772640
FSS-1000,42,0,original,104_class-770,0.9611115456,0.9611995816,4,0,1,0.9611995816
FSS-1000,42,0,original,105_class-770,0.9377485514,0.9376436472,4,0,0,0.9379184246
FSS-1000,42,0,original,106_class-770,0.9595094919,0.9591765404,1,0,0,0.9595905542
FSS-1000,42,0,original,107_class-770,0.9357522726,0.9480528831,4,0,1,0.9481014013
FSS-1000,42,0,original,108_class-770,0.9442605972,0.9442605972,0,0,1,0.9446549416
FSS-1000,42,0,original,109_class-770,0.9500089884,0.9499748945,3,0,0,0.9500089884
