generator,benchmark,seed,fold,obj_name,proposal_iter,proposal_nonbaseline,baseline_miou,proposal_miou,proposal_delta_miou,support_margin,foreground_margin,gate_margin,proposal_degraded,source_file
PerSAM-F-compatible,FSS-1000,42,0,0_class-760,5,1,0.9804753065109253,0.9806102514266968,0.00013494491577148438,1.4185905456542969e-05,0.0005047321319580078,1.4185905456542969e-05,0,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s42_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,42,0,1_class-760,3,1,0.9706321954727173,0.9704418182373047,-0.00019037723541259766,0.0005897879600524902,0.00022488832473754883,0.00022488832473754883,1,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s42_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,42,0,2_class-760,3,1,0.6647294759750366,0.9768754839897156,0.31214600801467896,0.0002886056900024414,-0.001678764820098877,-0.001678764820098877,0,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s42_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,42,0,3_class-760,2,1,0.9642795920372009,0.9633281826972961,-0.0009514093399047852,0.00022852420806884766,0.00017970800399780273,0.00017970800399780273,1,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s42_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,42,0,4_class-760,5,1,0.9709962606430054,0.9703830480575562,-0.0006132125854492188,9.202957153320312e-05,0.0015391707420349121,9.202957153320312e-05,1,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s42_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,42,0,5_class-760,1,1,0.933092474937439,0.9311338067054749,-0.0019586682319641113,0.0020337700843811035,-2.4020671844482422e-05,-2.4020671844482422e-05,1,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s42_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,42,0,6_class-760,4,1,0.9451984167098999,0.9452575445175171,5.91278076171875e-05,0.00023883581161499023,0.00023120641708374023,0.00023120641708374023,0,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s42_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,42,0,7_class-760,0,0,0.8794507384300232,0.8794507384300232,0.0,nan,nan,nan,0,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s42_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,42,0,8_class-760,2,1,0.9332252740859985,0.9336144924163818,0.0003892183303833008,-7.086992263793945e-05,0.0010030269622802734,-7.086992263793945e-05,0,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s42_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,42,0,9_class-760,2,1,0.941831648349762,0.9404971599578857,-0.0013344883918762207,-8.994340896606445e-05,0.001547694206237793,-8.994340896606445e-05,1,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s42_full\0\csvs\selector_original_candidates.csv
