benchmark,seed,fold,method,num_samples,mean_miou,mean_baseline,mean_oracle,gain_over_baseline,non_degradation_rate,mean_selected_iter,fallback_rate
COCO-20i,46,1,original,1000,0.5644018373,0.5449166667,0.6445607612,0.0194851706,0.6510000000,2.4450000000,0.0000000000
COCO-20i,46,1,confidence_only,1000,0.5601846276,0.5449166667,0.6445607612,0.0152679610,0.7110000000,2.0440000000,0.1400000000
COCO-20i,46,1,support_only,1000,0.5664110364,0.5449166667,0.6445607612,0.0214943697,0.7500000000,1.8700000000,0.1910000000
COCO-20i,46,1,fg_only,1000,0.5678857166,0.5449166667,0.6445607612,0.0229690499,0.7170000000,2.0370000000,0.1310000000
COCO-20i,46,1,support_fg,1000,0.5694790745,0.5449166667,0.6445607612,0.0245624078,0.8060000000,1.5240000000,0.3030000000
COCO-20i,46,2,original,1000,0.5697180541,0.5343315307,0.6439024626,0.0353865233,0.6770000000,2.4580000000,0.0000000000
COCO-20i,46,2,confidence_only,1000,0.5633046567,0.5343315307,0.6439024626,0.0289731260,0.7170000000,2.0740000000,0.1310000000
COCO-20i,46,2,support_only,1000,0.5673320555,0.5343315307,0.6439024626,0.0330005248,0.7880000000,1.8790000000,0.2030000000
COCO-20i,46,2,fg_only,1000,0.5706607614,0.5343315307,0.6439024626,0.0363292307,0.7340000000,2.0900000000,0.1240000000
COCO-20i,46,2,support_fg,1000,0.5678532809,0.5343315307,0.6439024626,0.0335217502,0.8310000000,1.5810000000,0.3020000000
COCO-20i,46,3,original,1000,0.5728674812,0.5329517073,0.6420255260,0.0399157739,0.6790000000,2.4290000000,0.0000000000
COCO-20i,46,3,confidence_only,1000,0.5621306715,0.5329517073,0.6420255260,0.0291789643,0.7280000000,1.9880000000,0.1540000000
COCO-20i,46,3,support_only,1000,0.5720721301,0.5329517073,0.6420255260,0.0391204228,0.7940000000,1.7740000000,0.2160000000
COCO-20i,46,3,fg_only,1000,0.5718105143,0.5329517073,0.6420255260,0.0388588071,0.7420000000,2.0520000000,0.1330000000
COCO-20i,46,3,support_fg,1000,0.5705848127,0.5329517073,0.6420255260,0.0376331054,0.8460000000,1.4570000000,0.3310000000
COCO-20i,47,0,original,1000,0.5520421546,0.5311350752,0.6273557739,0.0209070795,0.6520000000,2.4100000000,0.0000000000
COCO-20i,47,0,confidence_only,1000,0.5474289317,0.5311350752,0.6273557739,0.0162938565,0.7050000000,1.9900000000,0.1370000000
COCO-20i,47,0,support_only,1000,0.5538235758,0.5311350752,0.6273557739,0.0226885006,0.7570000000,1.8160000000,0.2000000000
COCO-20i,47,0,fg_only,1000,0.5530571986,0.5311350752,0.6273557739,0.0219221235,0.7200000000,1.9950000000,0.1360000000
COCO-20i,47,0,support_fg,1000,0.5540515837,0.5311350752,0.6273557739,0.0229165085,0.8130000000,1.4680000000,0.3160000000
COCO-20i,47,1,original,1000,0.5658594145,0.5350248433,0.6373357207,0.0308345712,0.6670000000,2.4940000000,0.0000000000
COCO-20i,47,1,confidence_only,1000,0.5572926616,0.5350248433,0.6373357207,0.0222678183,0.7250000000,2.0280000000,0.1540000000
COCO-20i,47,1,support_only,1000,0.5635236390,0.5350248433,0.6373357207,0.0284987957,0.7700000000,1.8640000000,0.2020000000
COCO-20i,47,1,fg_only,1000,0.5657637816,0.5350248433,0.6373357207,0.0307389383,0.7370000000,2.0710000000,0.1420000000
COCO-20i,47,1,support_fg,1000,0.5636891899,0.5350248433,0.6373357207,0.0286643467,0.8300000000,1.4950000000,0.3260000000
COCO-20i,47,2,original,1000,0.5725739469,0.5333610550,0.6418627985,0.0392128919,0.6860000000,2.5590000000,0.0000000000
COCO-20i,47,2,confidence_only,1000,0.5612116029,0.5333610550,0.6418627985,0.0278505479,0.7310000000,2.1120000000,0.1490000000
COCO-20i,47,2,support_only,1000,0.5746527689,0.5333610550,0.6418627985,0.0412917140,0.7820000000,2.0240000000,0.1770000000
COCO-20i,47,2,fg_only,1000,0.5711747607,0.5333610550,0.6418627985,0.0378137057,0.7490000000,2.1600000000,0.1320000000
COCO-20i,47,2,support_fg,1000,0.5727867328,0.5333610550,0.6418627985,0.0394256778,0.8350000000,1.6780000000,0.2920000000
COCO-20i,47,3,original,1000,0.5740502013,0.5455827686,0.6432840076,0.0284674327,0.6620000000,2.4480000000,0.0000000000
COCO-20i,47,3,confidence_only,1000,0.5669221947,0.5455827686,0.6432840076,0.0213394261,0.7040000000,2.0510000000,0.1400000000
COCO-20i,47,3,support_only,1000,0.5742751082,0.5455827686,0.6432840076,0.0286923396,0.7590000000,1.9240000000,0.1760000000
COCO-20i,47,3,fg_only,1000,0.5760910102,0.5455827686,0.6432840076,0.0305082416,0.7180000000,2.0870000000,0.1290000000
COCO-20i,47,3,support_fg,1000,0.5762826398,0.5455827686,0.6432840076,0.0306998712,0.8060000000,1.6180000000,0.2860000000
Pascal-5i,45,0,original,1000,0.7076726268,0.7035198138,0.7904272865,0.0041528131,0.4260000000,2.3970000000,0.0000000000
Pascal-5i,45,0,confidence_only,1000,0.7037890453,0.7035198138,0.7904272865,0.0002692315,0.5170000000,2.0100000000,0.1390000000
Pascal-5i,45,0,support_only,1000,0.7123568271,0.7035198138,0.7904272865,0.0088370133,0.6120000000,1.6640000000,0.2430000000
Pascal-5i,45,0,fg_only,1000,0.7186402927,0.7035198138,0.7904272865,0.0151204790,0.5710000000,1.9020000000,0.1710000000
Pascal-5i,45,0,support_fg,1000,0.7229698750,0.7035198138,0.7904272865,0.0194500612,0.7360000000,1.2400000000,0.3910000000
Pascal-5i,45,1,original,1000,0.6507967789,0.6758466192,0.7541327763,-0.0250498403,0.3640000000,2.5550000000,0.0000000000
Pascal-5i,45,1,confidence_only,1000,0.6635332841,0.6758466192,0.7541327763,-0.0123133351,0.5040000000,1.9620000000,0.1960000000
Pascal-5i,45,1,support_only,1000,0.6545928871,0.6758466192,0.7541327763,-0.0212537322,0.5720000000,1.7800000000,0.2580000000
Pascal-5i,45,1,fg_only,1000,0.6653076039,0.6758466192,0.7541327763,-0.0105390153,0.5360000000,1.9220000000,0.2130000000
Pascal-5i,45,1,support_fg,1000,0.6681718147,0.6758466192,0.7541327763,-0.0076748045,0.7130000000,1.2380000000,0.4380000000
Pascal-5i,45,2,original,1000,0.6354955172,0.6524636639,0.7461661022,-0.0169681466,0.4020000000,2.5670000000,0.0000000000
Pascal-5i,45,2,confidence_only,1000,0.6411432486,0.6524636639,0.7461661022,-0.0113204153,0.5010000000,2.1290000000,0.1440000000
Pascal-5i,45,2,support_only,1000,0.6423987101,0.6524636639,0.7461661022,-0.0100649538,0.5970000000,1.8500000000,0.2450000000
Pascal-5i,45,2,fg_only,1000,0.6432247799,0.6524636639,0.7461661022,-0.0092388840,0.5300000000,2.0530000000,0.1640000000
Pascal-5i,45,2,support_fg,1000,0.6491393629,0.6524636639,0.7461661022,-0.0033243010,0.7060000000,1.4020000000,0.3890000000
Pascal-5i,45,3,original,1000,0.6153922105,0.6355562382,0.7158888677,-0.0201640277,0.4070000000,2.5800000000,0.0000000000
Pascal-5i,45,3,confidence_only,1000,0.6256844600,0.6355562382,0.7158888677,-0.0098717782,0.5200000000,2.0460000000,0.1600000000
Pascal-5i,45,3,support_only,1000,0.6163877287,0.6355562382,0.7158888677,-0.0191685095,0.5630000000,1.9660000000,0.2100000000
Pascal-5i,45,3,fg_only,1000,0.6253403894,0.6355562382,0.7158888677,-0.0102158488,0.5530000000,1.9800000000,0.1840000000
Pascal-5i,45,3,support_fg,1000,0.6259089247,0.6355562382,0.7158888677,-0.0096473135,0.6870000000,1.4380000000,0.3690000000
Pascal-5i,46,0,original,1000,0.7082349650,0.7174203571,0.7948568881,-0.0091853921,0.3770000000,2.4510000000,0.0000000000
Pascal-5i,46,0,confidence_only,1000,0.7041188695,0.7174203571,0.7948568881,-0.0133014875,0.4600000000,2.0670000000,0.1290000000
Pascal-5i,46,0,support_only,1000,0.7177536131,0.7174203571,0.7948568881,0.0003332560,0.6000000000,1.6950000000,0.2700000000
Pascal-5i,46,0,fg_only,1000,0.7231235823,0.7174203571,0.7948568881,0.0057032252,0.5340000000,1.9750000000,0.1740000000
Pascal-5i,46,0,support_fg,1000,0.7317312144,0.7174203571,0.7948568881,0.0143108573,0.7300000000,1.2800000000,0.4150000000
Pascal-5i,46,1,original,1000,0.6554162887,0.6861171737,0.7574391450,-0.0307008850,0.3430000000,2.5390000000,0.0000000000
Pascal-5i,46,1,confidence_only,1000,0.6746285626,0.6861171737,0.7574391450,-0.0114886111,0.4710000000,2.0660000000,0.1560000000
Pascal-5i,46,1,support_only,1000,0.6607040021,0.6861171737,0.7574391450,-0.0254131716,0.5410000000,1.8270000000,0.2380000000
Pascal-5i,46,1,fg_only,1000,0.6732477817,0.6861171737,0.7574391450,-0.0128693920,0.5090000000,1.9490000000,0.1950000000
Pascal-5i,46,1,support_fg,1000,0.6787272758,0.6861171737,0.7574391450,-0.0073898979,0.6890000000,1.2850000000,0.4130000000
Pascal-5i,46,2,original,1000,0.6328078205,0.6508075344,0.7409028632,-0.0179997139,0.3850000000,2.5410000000,0.0000000000
Pascal-5i,46,2,confidence_only,1000,0.6410371450,0.6508075344,0.7409028632,-0.0097703894,0.4980000000,2.0680000000,0.1480000000
Pascal-5i,46,2,support_only,1000,0.6378601275,0.6508075344,0.7409028632,-0.0129474069,0.5620000000,1.8070000000,0.2400000000
Pascal-5i,46,2,fg_only,1000,0.6447287222,0.6508075344,0.7409028632,-0.0060788122,0.5420000000,1.9600000000,0.1910000000
Pascal-5i,46,2,support_fg,1000,0.6481978267,0.6508075344,0.7409028632,-0.0026097077,0.6930000000,1.3090000000,0.4030000000
Pascal-5i,46,3,original,1000,0.6129002332,0.6303995892,0.7165130065,-0.0174993559,0.4110000000,2.5460000000,0.0000000000
Pascal-5i,46,3,confidence_only,1000,0.6201391973,0.6303995892,0.7165130065,-0.0102603918,0.5250000000,2.0400000000,0.1730000000
Pascal-5i,46,3,support_only,1000,0.6174570485,0.6303995892,0.7165130065,-0.0129425406,0.5720000000,1.9370000000,0.2060000000
Pascal-5i,46,3,fg_only,1000,0.6215152709,0.6303995892,0.7165130065,-0.0088843183,0.5460000000,2.0040000000,0.1730000000
Pascal-5i,46,3,support_fg,1000,0.6258242618,0.6303995892,0.7165130065,-0.0045753273,0.6930000000,1.4430000000,0.3640000000
Pascal-5i,47,0,original,1000,0.7030808253,0.7079360965,0.7922622475,-0.0048552712,0.3860000000,2.5020000000,0.0000000000
Pascal-5i,47,0,confidence_only,1000,0.7007575321,0.7079360965,0.7922622475,-0.0071785643,0.4680000000,2.1210000000,0.1240000000
Pascal-5i,47,0,support_only,1000,0.7119090471,0.7079360965,0.7922622475,0.0039729506,0.5990000000,1.6900000000,0.2570000000
Pascal-5i,47,0,fg_only,1000,0.7112223717,0.7079360965,0.7922622475,0.0032862752,0.5080000000,2.0600000000,0.1430000000
Pascal-5i,47,0,support_fg,1000,0.7186818912,0.7079360965,0.7922622475,0.0107457948,0.7000000000,1.3120000000,0.3780000000
Pascal-5i,47,1,original,1000,0.6551982826,0.6861547065,0.7536622246,-0.0309564239,0.3570000000,2.5060000000,0.0000000000
Pascal-5i,47,1,confidence_only,1000,0.6730051829,0.6861547065,0.7536622246,-0.0131495236,0.4970000000,2.0120000000,0.1780000000
Pascal-5i,47,1,support_only,1000,0.6593129998,0.6861547065,0.7536622246,-0.0268417067,0.5330000000,1.8310000000,0.2220000000
Pascal-5i,47,1,fg_only,1000,0.6760757810,0.6861547065,0.7536622246,-0.0100789254,0.5310000000,1.9170000000,0.2020000000
Pascal-5i,47,1,support_fg,1000,0.6788014293,0.6861547065,0.7536622246,-0.0073532772,0.6810000000,1.3190000000,0.3980000000
Pascal-5i,47,2,original,1000,0.6343389180,0.6587816097,0.7455557058,-0.0244426917,0.3660000000,2.4490000000,0.0000000000
Pascal-5i,47,2,confidence_only,1000,0.6411163995,0.6587816097,0.7455557058,-0.0176652102,0.4740000000,2.0230000000,0.1510000000
Pascal-5i,47,2,support_only,1000,0.6427887960,0.6587816097,0.7455557058,-0.0159928137,0.5550000000,1.7450000000,0.2370000000
Pascal-5i,47,2,fg_only,1000,0.6473583416,0.6587816097,0.7455557058,-0.0114232681,0.5210000000,1.9040000000,0.1830000000
Pascal-5i,47,2,support_fg,1000,0.6544832084,0.6587816097,0.7455557058,-0.0042984013,0.6910000000,1.2610000000,0.4000000000
Pascal-5i,47,3,original,1000,0.6149855950,0.6308060372,0.7100938740,-0.0158204422,0.4050000000,2.4810000000,0.0000000000
Pascal-5i,47,3,confidence_only,1000,0.6230561323,0.6308060372,0.7100938740,-0.0077499049,0.5390000000,1.9440000000,0.1830000000
Pascal-5i,47,3,support_only,1000,0.6201745416,0.6308060372,0.7100938740,-0.0106314955,0.5740000000,1.8710000000,0.2080000000
Pascal-5i,47,3,fg_only,1000,0.6232353590,0.6308060372,0.7100938740,-0.0075706782,0.5510000000,1.9100000000,0.1880000000
Pascal-5i,47,3,support_fg,1000,0.6277546948,0.6308060372,0.7100938740,-0.0030513424,0.7070000000,1.3420000000,0.3820000000
