sample_id,seed,obj_name,baseline_miou,original_miou,support_fg_miou,original_iter,support_fg_iter,support_fg_fallback,original_non_degraded,support_fg_non_degraded,delta_support_fg_vs_original,delta_original_vs_baseline,delta_support_fg_vs_baseline
seed43:222_class-40,43,222_class-40,0.49320668,0.55499917,0.55499917,2,2,0,1,1,0.00000000,0.06179249,0.06179249
seed43:223_class-12,43,223_class-12,0.78603685,0.96849823,0.96849823,4,4,0,1,1,0.00000000,0.18246138,0.18246138
seed43:224_class-76,43,224_class-76,0.66598225,0.66598225,0.66598225,0,0,0,1,1,0.00000000,0.00000000,0.00000000
seed43:225_class-24,43,225_class-24,0.59686756,0.65699524,0.59686756,3,0,1,1,1,-0.06012768,0.06012768,0.00000000
seed43:226_class-28,43,226_class-28,0.64523715,0.94655752,0.64523715,4,0,1,1,1,-0.30132037,0.30132037,0.00000000
seed43:227_class-48,43,227_class-48,0.96963906,0.96922433,0.96922433,3,3,0,0,0,0.00000000,-0.00041473,-0.00041473
seed43:228_class-20,43,228_class-20,0.68017691,0.24271907,0.68017691,2,0,1,0,1,0.43745784,-0.43745784,0.00000000
seed43:229_class-56,43,229_class-56,0.52204973,0.52204973,0.52204973,0,0,0,1,1,0.00000000,0.00000000,0.00000000
seed43:230_class-64,43,230_class-64,0.59016889,0.70055628,0.70055628,3,3,0,1,1,0.00000000,0.11038738,0.11038738
seed43:231_class-72,43,231_class-72,0.34431320,0.33212253,0.34431320,3,0,1,0,1,0.01219067,-0.01219067,0.00000000
seed43:232_class-32,43,232_class-32,0.46218026,0.92848539,0.92848539,2,2,0,1,1,0.00000000,0.46630514,0.46630514
seed43:233_class-20,43,233_class-20,0.90757185,0.90753192,0.90757185,2,0,1,0,1,0.00003994,-0.00003994,0.00000000
seed43:234_class-0,43,234_class-0,0.90788901,0.94596314,0.90788901,3,0,1,1,1,-0.03807414,0.03807414,0.00000000
seed43:235_class-68,43,235_class-68,0.39604786,0.39604786,0.39604786,0,0,0,1,1,0.00000000,0.00000000,0.00000000
seed43:236_class-28,43,236_class-28,0.73199642,0.97061360,0.97061360,3,3,0,1,1,0.00000000,0.23861718,0.23861718
seed43:237_class-0,43,237_class-0,0.86782467,0.86721694,0.86782467,1,0,1,0,1,0.00060773,-0.00060773,0.00000000
seed43:238_class-44,43,238_class-44,0.52864563,0.55277860,0.55277860,5,5,0,1,1,0.00000000,0.02413297,0.02413297
seed43:239_class-12,43,239_class-12,0.36472359,0.70163012,0.70163012,2,2,0,1,1,0.00000000,0.33690652,0.33690652
seed43:240_class-56,43,240_class-56,0.47437799,0.76842934,0.76842934,3,3,0,1,1,0.00000000,0.29405135,0.29405135
seed43:241_class-64,43,241_class-64,0.46853861,0.41024098,0.46853861,1,0,1,0,1,0.05829763,-0.05829763,0.00000000
