fold,sample_id,obj_name,baseline_miou,original_miou,original_iter,original_non_degraded,support_fg_miou,support_fg_iter,support_fg_fallback,support_fg_non_degraded,support_fg_delta_vs_original,support_fg_delta_vs_baseline,support_fg_ndr_delta_vs_original,support_decoder_fg_miou,support_decoder_fg_iter,support_decoder_fg_fallback,support_decoder_fg_non_degraded,support_decoder_fg_delta_vs_original,support_decoder_fg_delta_vs_baseline,support_decoder_fg_ndr_delta_vs_original
0,fold0:83_class-2,83_class-2,0.82779992,0.47035864,5,0,0.47035864,5,0,0,0.00000000,-0.35744128,0,0.47035864,5,0,0,0.00000000,-0.35744128,0
0,fold0:84_class-4,84_class-4,0.69577086,0.69577086,0,1,0.69577086,0,0,1,0.00000000,0.00000000,0,0.69577086,0,0,1,0.00000000,0.00000000,0
0,fold0:85_class-3,85_class-3,0.86427557,0.85297418,4,0,0.85297418,4,0,0,0.00000000,-0.01130140,0,0.85297418,4,0,0,0.00000000,-0.01130140,0
0,fold0:86_class-4,86_class-4,0.63219208,0.81908929,4,1,0.81908929,4,0,1,0.00000000,0.18689722,0,0.81908929,4,0,1,0.00000000,0.18689722,0
0,fold0:87_class-4,87_class-4,0.39105192,0.37133044,5,0,0.39105192,0,1,1,0.01972148,0.00000000,1,0.39105192,0,1,1,0.01972148,0.00000000,1
0,fold0:88_class-3,88_class-3,0.39155757,0.39155757,0,1,0.39155757,0,0,1,0.00000000,0.00000000,0,0.39155757,0,0,1,0.00000000,0.00000000,0
0,fold0:89_class-4,89_class-4,0.44863009,0.41806987,4,0,0.44863009,0,1,1,0.03056023,0.00000000,1,0.44863009,0,1,1,0.03056023,0.00000000,1
0,fold0:90_class-1,90_class-1,0.52186531,0.51592058,1,0,0.52186531,0,1,1,0.00594473,0.00000000,1,0.52186531,0,1,1,0.00594473,0.00000000,1
0,fold0:91_class-2,91_class-2,0.84692395,0.80832052,2,0,0.84692395,0,1,1,0.03860343,0.00000000,1,0.84692395,0,1,1,0.03860343,0.00000000,1
0,fold0:92_class-0,92_class-0,0.99479878,0.94414878,4,0,0.99479878,0,1,1,0.05065000,0.00000000,1,0.99479878,0,1,1,0.05065000,0.00000000,1
0,fold0:93_class-1,93_class-1,0.50349224,0.53761500,3,1,0.53761500,3,0,1,0.00000000,0.03412277,0,0.53761500,3,0,1,0.00000000,0.03412277,0
0,fold0:94_class-0,94_class-0,0.99503857,0.96392608,1,0,0.96392608,1,0,0,0.00000000,-0.03111249,0,0.96392608,1,0,0,0.00000000,-0.03111249,0
0,fold0:95_class-3,95_class-3,0.69943869,0.95257723,5,1,0.69943869,0,1,1,-0.25313854,0.00000000,0,0.69943869,0,1,1,-0.25313854,0.00000000,0
0,fold0:96_class-0,96_class-0,0.99918085,0.93935812,5,0,0.99918085,0,1,1,0.05982274,0.00000000,1,0.99918085,0,1,1,0.05982274,0.00000000,1
0,fold0:97_class-3,97_class-3,0.71571279,0.94914562,5,1,0.94914562,5,0,1,0.00000000,0.23343283,0,0.94914562,5,0,1,0.00000000,0.23343283,0
0,fold0:98_class-0,98_class-0,0.99443424,0.95910358,3,0,0.95910358,3,0,0,0.00000000,-0.03533065,0,0.99443424,0,1,1,0.03533065,0.00000000,1
0,fold0:99_class-0,99_class-0,0.99660039,0.95784920,1,0,0.95784920,1,0,0,0.00000000,-0.03875118,0,0.95784920,1,0,0,0.00000000,-0.03875118,0
0,fold0:100_class-1,100_class-1,0.88221264,0.63741183,3,0,0.88221264,0,1,1,0.24480081,0.00000000,1,0.88221264,0,1,1,0.24480081,0.00000000,1
0,fold0:101_class-1,101_class-1,0.76228678,0.76228678,0,1,0.76228678,0,0,1,0.00000000,0.00000000,0,0.76228678,0,0,1,0.00000000,0.00000000,0
0,fold0:102_class-4,102_class-4,0.56241047,0.55229902,3,0,0.55229902,3,0,0,0.00000000,-0.01011145,0,0.55229902,3,0,0,0.00000000,-0.01011145,0
0,fold0:103_class-0,103_class-0,0.99404860,0.90751314,3,0,0.99404860,0,1,1,0.08653545,0.00000000,1,0.99404860,0,1,1,0.08653545,0.00000000,1
0,fold0:104_class-1,104_class-1,0.54128182,0.47180909,4,0,0.54128182,0,1,1,0.06947273,0.00000000,1,0.54128182,0,1,1,0.06947273,0.00000000,1
0,fold0:105_class-1,105_class-1,0.35049480,0.78049099,3,1,0.35049480,0,1,1,-0.42999619,0.00000000,0,0.35049480,0,1,1,-0.42999619,0.00000000,0
0,fold0:106_class-4,106_class-4,0.02511881,0.02609102,3,1,0.02609102,3,0,1,0.00000000,0.00097221,0,0.02511881,0,1,1,-0.00097221,0.00000000,0
0,fold0:107_class-0,107_class-0,0.97575748,0.74632335,3,0,0.74632335,3,0,0,0.00000000,-0.22943413,0,0.74632335,3,0,0,0.00000000,-0.22943413,0
0,fold0:108_class-3,108_class-3,0.67663372,0.75969231,3,1,0.75969231,3,0,1,0.00000000,0.08305860,0,0.67663372,0,1,1,-0.08305860,0.00000000,0
0,fold0:109_class-1,109_class-1,0.57521719,0.46494356,4,0,0.57521719,0,1,1,0.11027363,0.00000000,1,0.57521719,0,1,1,0.11027363,0.00000000,1
0,fold0:110_class-4,110_class-4,0.26492816,0.26492816,0,1,0.26492816,0,0,1,0.00000000,0.00000000,0,0.26492816,0,0,1,0.00000000,0.00000000,0
0,fold0:111_class-4,111_class-4,0.99772477,0.97817826,3,0,0.97817826,3,0,0,0.00000000,-0.01954651,0,0.97817826,3,0,0,0.00000000,-0.01954651,0
0,fold0:112_class-0,112_class-0,0.92097151,0.84319651,1,0,0.92097151,0,1,1,0.07777500,0.00000000,1,0.92097151,0,1,1,0.07777500,0.00000000,1
0,fold0:113_class-3,113_class-3,0.89352763,0.86022174,3,0,0.89352763,0,1,1,0.03330588,0.00000000,1,0.89352763,0,1,1,0.03330588,0.00000000,1
0,fold0:114_class-1,114_class-1,0.46113035,0.46113035,0,1,0.46113035,0,0,1,0.00000000,0.00000000,0,0.46113035,0,0,1,0.00000000,0.00000000,0
0,fold0:115_class-0,115_class-0,0.86925989,0.92003459,5,1,0.92003459,5,0,1,0.00000000,0.05077469,0,0.92003459,5,0,1,0.00000000,0.05077469,0
0,fold0:116_class-2,116_class-2,0.42724913,0.41417280,4,0,0.41417280,4,0,0,0.00000000,-0.01307634,0,0.41417280,4,0,0,0.00000000,-0.01307634,0
0,fold0:117_class-3,117_class-3,0.77084142,0.45899811,5,0,0.45899811,5,0,0,0.00000000,-0.31184331,0,0.77084142,0,1,1,0.31184331,0.00000000,1
0,fold0:118_class-4,118_class-4,0.19192351,0.16310665,1,0,0.19192351,0,1,1,0.02881686,0.00000000,1,0.19192351,0,1,1,0.02881686,0.00000000,1
0,fold0:119_class-0,119_class-0,0.99766213,0.95141292,4,0,0.95141292,4,0,0,0.00000000,-0.04624921,0,0.95141292,4,0,0,0.00000000,-0.04624921,0
0,fold0:120_class-2,120_class-2,0.93960905,0.93960905,0,1,0.93960905,0,0,1,0.00000000,0.00000000,0,0.93960905,0,0,1,0.00000000,0.00000000,0
0,fold0:121_class-4,121_class-4,0.48978025,0.96951687,2,1,0.96951687,2,0,1,0.00000000,0.47973663,0,0.96951687,2,0,1,0.00000000,0.47973663,0
0,fold0:122_class-2,122_class-2,0.90517807,0.90517807,0,1,0.90517807,0,0,1,0.00000000,0.00000000,0,0.90517807,0,0,1,0.00000000,0.00000000,0
0,fold0:123_class-2,123_class-2,0.00629274,0.00619673,1,0,0.00629274,0,1,1,0.00009601,0.00000000,1,0.00629274,0,1,1,0.00009601,0.00000000,1
0,fold0:124_class-1,124_class-1,0.65596193,0.58003604,5,0,0.58003604,5,0,0,0.00000000,-0.07592589,0,0.58003604,5,0,0,0.00000000,-0.07592589,0
0,fold0:125_class-1,125_class-1,0.46646121,0.42780370,5,0,0.42780370,5,0,0,0.00000000,-0.03865752,0,0.46646121,0,1,1,0.03865752,0.00000000,1
0,fold0:126_class-2,126_class-2,0.34699863,0.33871767,2,0,0.33871767,2,0,0,0.00000000,-0.00828096,0,0.33871767,2,0,0,0.00000000,-0.00828096,0
0,fold0:127_class-0,127_class-0,0.77164638,0.77164638,0,1,0.77164638,0,0,1,0.00000000,0.00000000,0,0.77164638,0,0,1,0.00000000,0.00000000,0
0,fold0:128_class-2,128_class-2,0.98251581,0.98251581,0,1,0.98251581,0,0,1,0.00000000,0.00000000,0,0.98251581,0,0,1,0.00000000,0.00000000,0
0,fold0:129_class-4,129_class-4,0.57024860,0.55209619,3,0,0.57024860,0,1,1,0.01815242,0.00000000,1,0.57024860,0,1,1,0.01815242,0.00000000,1
0,fold0:130_class-1,130_class-1,0.48533148,0.45055637,4,0,0.45055637,4,0,0,0.00000000,-0.03477511,0,0.45055637,4,0,0,0.00000000,-0.03477511,0
0,fold0:131_class-4,131_class-4,0.97647804,0.97647804,0,1,0.97647804,0,0,1,0.00000000,0.00000000,0,0.97647804,0,0,1,0.00000000,0.00000000,0
