generator,benchmark,split,seed,epsilon,calibration_feasible,episodes,tau_tmp,accepted_count,coverage,gate_fallback_rate,conditional_degradation_risk,selected_miou,baseline_miou,gain_over_baseline,ndr,random_repetitions,random_seed,random_miou_mean,random_miou_ci_low,random_miou_ci_high,guarded_minus_random_pp,difference_ci_low_pp,difference_ci_high_pp
PerSAM-F-compatible,FSS-1000,calibration,42,0.4,1,459,0.003771568658264446,90,0.19607843137254902,0.6601307189542484,0.4,0.882613675976233,0.8762792132902395,0.006334462685993423,0.9215686274509803,,,,,,,,
PerSAM-F-compatible,FSS-1000,held_out,42,0.4,1,1941,0.003771568658264446,343,0.17671303451828954,0.6625450798557445,0.4839650145772595,0.85470038915731,0.8513370638571455,0.003363325300164394,0.9144770736733643,10000.0,20260950.0,0.857760210113561,0.854845301071243,0.8607810466335514,-0.3059820956250928,-0.6080657476241395,-0.014491191393310617
PerSAM-F-compatible,FSS-1000,held_out,43,0.4,1,1941,0.003771568658264446,368,0.18959299330242144,0.6419371458011335,0.4048913043478261,0.8564534386330117,0.8534059784826638,0.003047460150347886,0.9232354456465739,10000.0,20260951.0,0.8604045423653721,0.8576400833125698,0.8632398007736631,-0.39511037323604326,-0.6786362140651481,-0.11866446795581356
PerSAM-F-compatible,FSS-1000,held_out,44,0.4,1,1941,0.003771568658264446,362,0.18650180319422976,0.6506955177743431,0.4613259668508287,0.8592416033619464,0.8554705763221294,0.0037710270398171185,0.913961875321999,10000.0,20260952.0,0.8614916122413586,0.8586190358206924,0.8643782482600527,-0.22500088794121711,-0.5136644898106302,0.06225675412540511
PerSAM-F-compatible,COCO-20i,calibration,45,0.4,1,807,1.000000000001,434,0.5377942998760843,0.3023543990086741,0.3225806451612903,0.57238528749512,0.5389866400807242,0.033398647414395743,0.8265179677819083,,,,,,,,
PerSAM-F-compatible,COCO-20i,held_out,45,0.4,1,3193,1.000000000001,1691,0.5295959912308175,0.30034450360162857,0.332347723240686,0.5634678210923506,0.5328851361988921,0.03058268489345857,0.8239899780770436,10000.0,20260953.0,0.5529390539723514,0.5503569179950574,0.5555191731143042,1.0528767119999147,0.7948647978046439,1.3110903097293283
PerSAM-F-compatible,COCO-20i,held_out,46,0.4,1,3193,1.000000000001,1650,0.5167554024428437,0.31161916692765423,0.33090909090909093,0.5652051249275732,0.5354328047439825,0.02977232018359078,0.8290009395552772,10000.0,20260954.0,0.5529637475603552,0.5501540663969895,0.5557474395843194,1.2241377367218158,0.9457685343253888,1.505105853058376
PerSAM-F-compatible,COCO-20i,held_out,47,0.4,1,3193,1.000000000001,1676,0.5248982148449733,0.307860945818979,0.3418854415274463,0.5665781777348085,0.5362875932864635,0.03029058444834493,0.8205449420607579,10000.0,20260955.0,0.5553711013775041,0.5527821415161004,0.5580110169630315,1.120707635730429,0.8567160771777013,1.3796036218708057
PerSAM-F-compatible,Pascal-5i,calibration,45,0.4,0,811,0.0,0,0.0,0.8594327990135635,0.0,0.6700386975075603,0.6700386975075603,0.0,1.0,,,,,,,,
PerSAM-F-compatible,Pascal-5i,held_out,45,0.4,0,3189,0.0,1,0.00031357792411414236,0.8234556287237379,1.0,0.6660347479703213,0.6660347918958044,-4.3925483161743366e-08,0.9996864220758859,10000.0,20260953.0,0.6660299197006996,0.6658933008798279,0.6661930900703136,0.0004828269621617309,-0.015834209999231186,0.01414470904933518
PerSAM-F-compatible,Pascal-5i,held_out,46,0.4,0,3189,0.0,0,0.0,0.8422703041705863,0.0,0.6706906665712881,0.6706906665712881,0.0,1.0,10000.0,20260954.0,0.6706906665712883,0.6706906665712881,0.6706906665712881,0.0,0.0,0.0
PerSAM-F-compatible,Pascal-5i,held_out,47,0.4,0,3189,0.0,0,0.0,0.8381937911571026,0.0,0.6703666205091982,0.6703666205091982,0.0,1.0,10000.0,20260955.0,0.6703666205091983,0.6703666205091982,0.6703666205091982,0.0,0.0,0.0
Matcher,FSS-1000,calibration,42,0.4,0,459,0.0,0,0.0,0.8453159041394336,0.0,0.8927369411336765,0.8927369411336765,0.0,1.0,,,,,,,,
Matcher,FSS-1000,held_out,42,0.4,0,1941,0.0,0,0.0,0.8284389489953632,0.0,0.8825324475628481,0.8825324475628481,0.0,1.0,10000.0,20260950.0,0.8825324475628484,0.8825324475628481,0.8825324475628481,0.0,0.0,0.0
Matcher,COCO-20i,calibration,42,0.4,1,189,0.9041791345872893,91,0.48148148148148145,0.31746031746031744,0.3626373626373626,0.671630933880806,0.6558312229496777,0.015799710931128294,0.8253968253968254,,,,,,,,
Matcher,COCO-20i,held_out,42,0.4,1,811,0.9041791345872893,355,0.43773119605425403,0.36991368680641185,0.4,0.697550094284665,0.68688227009584,0.01066782418882495,0.8249075215782984,10000.0,20260950.0,0.6955039121233052,0.6920925837324367,0.6988841923181782,0.20461821613597087,-0.13340980335132702,0.5457510552228316
