obj_name,selector,selected_iter,pre_fallback_iter,fallback_applied,selector_miou,baseline_miou,oracle_miou,support_query_selected,decoder_confidence_selected,temporal_stability_selected,foreground_background_separation_selected
0_class-0,guarded,0,5,True,0.8127138614654541,0.8127138614654541,0.9374632835388184,0.9858164191246033,0.9822067022323608,1.0,0.8909916877746582
1_class-72,guarded,4,4,False,0.4619061350822449,0.42805713415145874,0.5347117185592651,0.9748652577400208,0.9673372507095337,0.5910618944037968,0.9765732884407043
2_class-68,guarded,0,4,True,0.16493307054042816,0.16493307054042816,0.17855465412139893,0.8480739593505859,0.992870569229126,1.0,0.9766204953193665
3_class-76,guarded,1,1,False,0.17093174159526825,0.16769132018089294,0.17093174159526825,0.9253022074699402,0.9995156526565552,0.9878022598870057,0.9110588431358337
4_class-36,guarded,0,5,True,0.46433043479919434,0.46433043479919434,0.48775359988212585,0.9802014231681824,0.8988523483276367,1.0,0.9001187682151794
5_class-56,guarded,5,5,False,0.427062064409256,0.4195394515991211,0.427062064409256,0.9954061508178711,0.9743129014968872,0.22688067817772595,0.9312699437141418
6_class-48,guarded,0,0,False,0.43450912833213806,0.43450912833213806,0.6578211784362793,0.9910930395126343,1.0051078796386719,1.0,0.984687864780426
7_class-36,guarded,3,3,False,0.4757923185825348,0.4577171504497528,0.5250819325447083,0.9933342933654785,0.9693311452865601,0.46209410205434065,0.9751719832420349
8_class-40,guarded,2,2,False,0.9664667248725891,0.9572204947471619,0.9664667248725891,0.9761261343955994,0.988929033279419,0.9730758977874253,0.9796227812767029
9_class-4,guarded,0,0,False,0.9423283934593201,0.9423283934593201,0.9423283934593201,0.9910047054290771,0.9991660118103027,1.0,0.9714479446411133
