obj_name,selector,selected_iter,pre_fallback_iter,fallback_applied,selector_miou,baseline_miou,oracle_miou,support_query_selected,decoder_confidence_selected,temporal_stability_selected,foreground_background_separation_selected
0_class-760,guarded,0,3,True,0.9801626205444336,0.9801626205444336,0.9805577993392944,0.9969131350517273,1.0040334463119507,1.0,0.9798166155815125
1_class-760,guarded,4,4,False,0.9714076519012451,0.9707610607147217,0.9714709520339966,0.980201780796051,1.0015326738357544,0.9982279285153051,0.9853690266609192
2_class-760,guarded,0,2,True,0.8481415510177612,0.8481415510177612,0.9765557050704956,0.9986685514450073,0.9844540357589722,1.0,0.9595575928688049
3_class-760,guarded,1,1,False,0.9639620780944824,0.9641947746276855,0.964362621307373,0.982232391834259,1.0093457698822021,0.9994034564435477,0.9896461367607117
4_class-760,guarded,2,2,False,0.9712870717048645,0.9712048172950745,0.9733541011810303,0.9851887822151184,0.999279260635376,0.9957406974022934,0.9801338911056519
5_class-760,guarded,0,1,True,0.9631659984588623,0.9631659984588623,0.9631659984588623,0.9953789710998535,0.9910879135131836,1.0,0.9658745527267456
6_class-760,guarded,0,4,True,0.9399993419647217,0.9399993419647217,0.9448561668395996,0.9835817217826843,0.9939334392547607,1.0,0.9814453125
7_class-760,guarded,3,3,False,0.8907967209815979,0.8800122737884521,0.8907967209815979,0.9851484298706055,0.9936747550964355,0.971816199628523,0.9828762412071228
8_class-760,guarded,4,4,False,0.9338057041168213,0.7255325317382812,0.9338057041168213,0.9936893582344055,1.0025955438613892,0.6073358929436762,0.9842559695243835
9_class-760,guarded,0,0,False,0.941503643989563,0.941503643989563,0.9674601554870605,0.9893679022789001,0.9951986074447632,1.0,0.9785774350166321
