seed,method,num_samples,mean_selected_miou,mean_baseline_miou,mean_oracle_miou,gain_over_baseline,non_degradation_rate,oracle_gap_closure,mean_selected_iter,fallback_rate
s42,original_gate_none,2400,0.8837846819394811,0.8561072499362248,0.9185859807157734,0.02767743200325634,0.6204166666666666,0.4429896647695044,2.5316666666666667,0.0
s42,original_gate_support_only,2400,0.8814283542790994,0.8561072499362248,0.9185859807157734,0.0253211043428746,0.7441666666666666,0.4052755878191281,1.74125,0.2604166666666667
s42,original_gate_fg_only,2400,0.8806605164076124,0.8561072499362248,0.9185859807157734,0.02455326647138767,0.7291666666666666,0.392985999635972,1.86375,0.22708333333333333
s42,original_gate_support_fg,2400,0.8781535764649743,0.8561072499362248,0.9185859807157734,0.022046326528749494,0.82875,0.35286130581842756,1.21,0.4425
s42,original_gate_support_decoder_fg,2400,0.8821841147505135,0.8561072499362248,0.9185859807157734,0.026076864814288725,0.6791666666666667,0.4173718718182504,2.1958333333333333,0.11708333333333333
s42,original_gate_all_four,2400,0.8713587866831222,0.8561072499362248,0.9185859807157734,0.015251536746897387,0.86125,0.2441076596243811,0.9945833333333334,0.5166666666666667
s43,original_gate_none,2400,0.8867293511261232,0.8582649375118004,0.9194569907147282,0.028464413614322726,0.6379166666666667,0.4651651991464937,2.5233333333333334,0.0
s43,original_gate_support_only,2400,0.8832274540474949,0.8582649375118004,0.9194569907147282,0.02496251653569448,0.7575,0.4079372276153685,1.7733333333333334,0.2520833333333333
s43,original_gate_fg_only,2400,0.8841266618226655,0.8582649375118004,0.9194569907147282,0.025861724310865086,0.7533333333333333,0.4226320732383551,1.84625,0.22083333333333333
s43,original_gate_support_fg,2400,0.8804299500297444,0.8582649375118004,0.9194569907147282,0.022165012517944005,0.8475,0.3622204413445554,1.2270833333333333,0.43
s43,original_gate_support_decoder_fg,2400,0.885647748686218,0.8582649375118004,0.9194569907147282,0.027382811174417543,0.6920833333333334,0.4474896615024417,2.202916666666667,0.10291666666666667
s43,original_gate_all_four,2400,0.8737490902728556,0.8582649375118004,0.9194569907147282,0.015484152761055192,0.8754166666666666,0.25304188943793027,1.0141666666666667,0.49916666666666665
s44,original_gate_none,2400,0.8846174876201742,0.8591201368377854,0.9174866361438763,0.025497350782388795,0.64125,0.43684906728212874,2.4904166666666665,0.0
s44,original_gate_support_only,2400,0.8813719373074127,0.8591201368377854,0.9174866361438763,0.02225180046962727,0.7545833333333334,0.38124267746352886,1.73375,0.25166666666666665
s44,original_gate_fg_only,2400,0.8832099170451208,0.8591201368377854,0.9174866361438763,0.02408978020733532,0.7454166666666666,0.41273299741691777,1.8325,0.22166666666666668
s44,original_gate_support_fg,2400,0.8799541870537602,0.8591201368377854,0.9174866361438763,0.02083405021597473,0.8379166666666666,0.35695219798458244,1.1866666666666668,0.43666666666666665
s44,original_gate_support_decoder_fg,2400,0.8835898467341515,0.8591201368377854,0.9174866361438763,0.0244697098963661,0.6920833333333334,0.4192423768305831,2.18375,0.105
s44,original_gate_all_four,2400,0.8712408688775031,0.8591201368377854,0.9174866361438763,0.012120732039717641,0.8629166666666667,0.2076659073924069,0.9670833333333333,0.5108333333333334
